decision_date,SPXT,FTSE100,LBUSTRUU,BROAD_TIPS,B3REITT,XAU,SILVER_FUT,NIKKEI225,CSI300_CHINA,BITCOIN,CHF_FRANC,fold_id,turnover,turnover_cost,ex_ante_vol,active_vol_budget,guardrail_multiplier,optimizer_status,used_fallback
2003-01-29,0.20000000014988034,5.338642354048713e-10,0.12403890446679143,0.22846816632561226,0.0,0.2700556130305307,0.16930334544192518,7.203195928502123e-10,0.008133968474557681,0.0,8.56518613890605e-10,1.0,0.8837320595974476,0.00044186602979872383,0.09570562606565829,0.1,1.0,optimal,0
2003-02-28,0.20000000017230424,7.029424181317058e-10,0.1511597553559985,0.2499999987634713,0.0,0.22145565254491242,0.07467510513318454,6.316142238330884e-10,0.10270948512695782,0.0,1.5686146397093945e-09,1.0,0.25911721927273357,0.00012955860963636677,0.08993970709558367,0.1,1.0,optimal,0
2003-03-31,0.20000000004936583,0.05204679762640511,0.10249976634870321,0.11290646539518856,0.09371957467067843,0.11105111564857623,0.0978691898521055,0.04076652449187034,0.1013590516759189,0.0,0.08778151424118777,1.0,0.5977594831821902,0.0002988797415910951,0.07367731048633443,0.05,1.0,optimal,0
2003-04-30,0.20000000014743385,0.08042047512398304,0.14937180111722922,0.24857374371495403,1.2056542359490617e-06,0.23826468710369644,0.08336808599593223,9.144660372286109e-11,2.5811618235460867e-10,0.0,7.929724135898074e-10,1.0,0.6881286683301092,0.0003440643341650546,0.08941878813698569,0.1,1.0,optimal,0
2003-05-30,0.20000000027690965,0.13914087640081588,0.08284111101880395,0.20442964408983266,2.8842326799138256e-09,0.17358836598725308,1.38592226740712e-09,4.0948413351741635e-10,0.19999999677613117,0.0,7.706144064220275e-10,1.0,0.5159435787152573,0.00025797178935762865,0.08500222661823892,0.1,1.0,optimal,0
2003-06-30,0.2000000001362633,0.09474782529004079,0.087344764750376,0.20666549079710625,0.249999999914681,0.16124191686020306,1.744481571993915e-09,2.3997557264084147e-10,4.9374826881848973e-11,0.0,2.1749773783281333e-10,1.0,0.5058011509012654,0.0002529005754506327,0.08666844118377172,0.1,1.0,optimal,0
2003-07-31,0.20000000279938773,0.11543943211032158,0.06124089175871934,0.1566568000019219,0.21937660014833651,0.0746300540085029,0.15599333433555157,5.218999343884323e-09,3.970066963167974e-09,0.0,0.01666287564819229,1.0,0.38780496859614405,0.00019390248429807202,0.07999999952159774,0.08,1.0,optimal,0
2003-08-29,0.20000000039057333,0.0308207613759273,0.024927905565031043,0.2477215346715142,0.24999999947702145,0.17260690659387476,0.027393090482072294,3.1081862795628993e-09,1.1359673970324883e-10,0.0,0.046529798222202635,1.0,0.48970277263892176,0.0002448513863194609,0.08902560944871761,0.1,1.0,optimal,0
2003-09-30,0.20000000003517712,0.047110403567750335,0.07125300662126315,0.23163659061168074,0.24999999981185855,0.16377336000253254,0.03622663873598251,4.741641117541363e-10,3.410814017546017e-11,0.0,1.0548300571731791e-10,1.0,0.1534815820217067,7.674079101085335e-05,0.0875412778635161,0.1,1.0,optimal,0
2003-10-31,0.20000000002958573,0.08434790554537921,0.05005932298538393,0.22092571586155543,0.21555334627309405,0.18215660295959568,0.04695710585713298,4.036181036428668e-10,2.1908574559837046e-11,0.0,6.274628192046131e-11,1.0,0.13747624868748537,6.873812434374269e-05,0.08491974604589178,0.1,1.0,optimal,0
2003-11-28,0.20000000064932424,0.10352513904172103,0.06100961133096917,0.18546524911683454,0.178391960310811,0.07160963533947148,0.19999839834040103,3.730510767241155e-09,6.799957302478476e-10,0.0,1.4599610613498243e-09,1.0,0.3699146921025902,0.0001849573460512951,0.08144881624594313,0.1,1.0,optimal,0
2003-12-30,0.2309499484290975,0.14999999994825639,0.03622580285982695,0.13282424872305312,0.13456092093965846,0.11798681591243146,0.1974522626676962,2.903090515523381e-10,9.672042287946175e-11,0.0,1.3295036047817093e-10,1.0,0.24712915941696162,0.00012356457970848082,0.08146125040628999,0.1,1.0,optimal,0
2004-01-30,0.20182294651886945,0.14999999783990123,0.060560561423163774,0.13761649484049632,0.24213451694393623,0.04399951907622019,0.13501899888695917,0.02884696184871431,2.0750720124552875e-09,0.0,5.466672779933404e-10,1.0,0.33119677512424556,0.00016559838756212278,0.08281251514409743,0.1,1.0,optimal,0
2004-02-27,0.2000000064894753,0.14999999549547477,0.02699115554301655,0.17300884421871032,0.20180504687196849,0.048194937984516545,0.1999999901189985,8.774918461284474e-09,1.233552254292063e-08,0.0,2.1673986428023824e-09,1.0,0.2040682807330417,0.00010203414036652085,0.09039257848277836,0.1,1.0,optimal,0
2004-03-31,0.20000000310993,0.12484061593071011,0.03922185032459538,0.18593752748043138,0.12773577932889438,0.04730335822071041,0.19999999592489948,0.0749608600697414,4.570041421350632e-09,0.0,5.0400460593206825e-09,1.0,0.23578289062415544,0.00011789144531207773,0.0858600400268605,0.1,1.0,optimal,0
2004-04-30,0.20000000277125254,0.13529924024598058,0.05874868638701959,0.15686475612749806,0.13464154360537992,0.09993994973684056,0.09449687835778119,0.12000893749621834,1.1181187435444179e-09,0.0,4.1539105891609685e-09,1.0,0.25264682598100474,0.00012632341299050238,0.08204520860993524,0.1,1.0,optimal,0
2004-05-28,0.20000000274869192,0.14999999439004255,4.189030831350486e-08,0.19999996021324296,0.24999999965803565,0.04504559447940282,0.09889896330527903,0.05605543983299164,6.344528724251151e-10,0.0,2.847552313498272e-09,1.0,0.3403154023966425,0.00017015770119832124,0.08955366913936569,0.1,1.0,optimal,0
2004-06-30,0.2000000020595139,0.14999999991074603,0.025364344881290208,0.17463565313748813,0.24999999995945804,0.0965177494699083,0.02045789801409126,0.08302435244959713,1.8177507452433568e-11,0.0,9.97295255703112e-11,1.0,0.20620735963213202,0.00010310367981606601,0.0844675485135803,0.1,1.0,optimal,0
2004-07-30,0.20000000009545016,0.14969402912469074,0.06324855383363442,0.1619479231691577,0.24999999989991983,0.07126813784518962,0.09202407068196035,0.011817284819904204,1.1980823191995576e-10,0.0,4.102846021494494e-10,1.0,0.22198341100264452,0.00011099170550132226,0.0856172236101583,0.1,1.0,optimal,0
2004-08-31,0.20000000035711027,0.12630656320502134,0.08374899896513172,0.12527260936490603,0.23743563890668795,0.09589660655482019,0.07821493812486074,0.03845281360576489,5.764290978846949e-10,0.0,0.014671830339267678,1.0,0.18420731364045964,9.210365682022982e-05,0.07999999992047618,0.08,1.0,optimal,0
2004-09-30,0.20000000104919652,0.14999999941578418,0.042825741867075724,0.15717425943097663,0.24999999662800299,0.06393846187916412,0.1360615366626129,1.744206894989371e-09,2.280710050437735e-10,0.0,1.0949090421493715e-09,1.0,0.25001012022528135,0.00012500506011264067,0.08788604616679578,0.1,1.0,optimal,0
2004-10-29,0.20000000056760148,0.14965880005869123,0.070724568542076,0.12961663700589424,0.19869831497958576,0.13290276222100889,0.08873099063732516,0.029667922261705983,5.58077268423539e-10,0.0,3.168034005239768e-09,1.0,0.2639137198598126,0.0001319568599299063,0.07999999995929154,0.08,1.0,optimal,0
2004-11-30,0.20000000119194547,0.14999999865376384,0.07465063275199482,0.12534936468439162,0.21372265221654937,0.11034372575058006,0.09918372066046201,0.02674989898884035,9.779808070888169e-10,0.0,4.1234917647530826e-09,1.0,0.06056406646896275,3.0282033234481376e-05,0.07999999976377817,0.08,1.0,optimal,0
2004-12-30,0.26095765610199356,0.14999999961206095,0.016278804319549204,0.12276353966226715,0.24999999948739596,0.051321339632790494,0.10557904724699178,0.04309961289414256,2.4879454086675173e-10,0.0,7.940136420956016e-10,1.0,0.23789455760335929,0.00011894727880167964,0.0882676760489658,0.1,1.0,optimal,0
2005-01-31,0.20000000346339047,0.14999999195700497,0.06014876771674966,0.13985123310455008,0.15614680075132548,0.0989421621565148,0.14802729257359698,0.04688373963840279,1.2549954862715112e-09,0.0,7.383469339347728e-09,1.0,0.2924246482067242,0.0001462123241033621,0.07999999021093387,0.08,1.0,optimal,0
2005-02-28,0.2000000000133735,0.10454636581454614,0.08877500446020481,0.09402510174494526,0.10652892974758084,0.09821581610075422,0.06220548602287118,0.09958962216301427,0.07016960407017186,0.0,0.07594406986253803,1.0,0.46400992483090725,0.00023200496241545363,0.06803894304180257,0.05,1.0,optimal,0
2005-03-31,0.20000000609723906,0.13866322373384982,0.07622720982254827,0.1351095610215859,0.19565030767287714,0.08819758326516104,0.13102312833617602,0.035128976538307204,4.218676071826759e-10,0.0,3.0903878437259052e-09,1.0,0.46519843526040283,0.00023259921763020143,0.07999999984244889,0.08,1.0,optimal,0
2005-04-28,0.200000000493782,0.102971648607159,0.08283102333963845,0.16443340858290842,0.2499999986768738,0.10059809114282223,0.09916582202763413,4.979447343528566e-09,7.32651084609369e-10,0.0,1.417083603961662e-09,1.0,0.19271692285173536,9.635846142586768e-05,0.08321453572259457,0.1,1.0,optimal,0
2005-05-31,0.20000000875477383,0.10429906227693234,0.0993975734504946,0.18253596660435817,0.24999999759985672,1.459803750501655e-08,0.16376667992600455,8.062910499696921e-08,7.64193135065788e-10,0.0,6.153962440158805e-07,1.0,0.2090416823860951,0.00010452084119304756,0.08957291731940813,0.1,1.0,optimal,0
2005-06-30,0.20000000115117839,0.11053606578248762,0.08418273180630934,0.13920479628907778,0.24999994732613262,0.1224032815569422,0.03894708477502607,0.011178155879306846,8.324382992263593e-10,0.0,0.043547934601100846,1.0,0.36818030970717325,0.00018409015485358664,0.07999999987922982,0.08,1.0,optimal,0
2005-07-29,0.2000000000093532,0.08966643142297043,0.09035932739771121,0.08838518676204835,0.11708230955689415,0.08329117256596578,0.09137752284025943,0.08283726205848378,0.07178835945197178,0.0,0.08521242793434201,1.0,0.49436453654885604,0.00024718226827442804,0.06727010303232192,0.05,1.0,optimal,0
2005-08-31,0.20000000025830775,0.09386555239302566,0.09091214788933176,0.0953576957696611,0.11475988216295772,0.09313329138678311,0.07508331736972915,0.0962297558623259,0.053569567078468,0.0,0.08708878982940985,1.0,0.06636463227893413,3.3182316139467064e-05,0.06757366028361529,0.05,1.0,optimal,0
2005-09-30,0.20000000003092025,0.08997106623026237,0.0865173458364515,0.09232372950549877,0.11104068177426267,0.09515645615884835,0.09144687209345227,0.10055382999882513,0.0460147943969435,0.0,0.08697522397453526,1.0,0.030893845090175787,1.5446922545087893e-05,0.06760968789106918,0.05,1.0,optimal,0
2005-10-31,0.2000000000714558,0.0882751013001342,0.08249946987101428,0.09118211623954077,0.10454429530655633,0.09535540737489351,0.09079342289438748,0.09371365514489562,0.06559321723660624,0.0,0.0880433145605157,1.0,0.04317337298719688,2.158668649359844e-05,0.0674776049745251,0.05,1.0,optimal,0
2005-11-30,0.20000000488265496,0.048275104110381474,0.06948266154691148,0.15835806947776837,0.1955820228837693,0.025590286720353014,0.1330245185408842,0.09580317141505669,1.8863813460801172e-10,0.0,0.07388416023358249,1.0,0.3945543128921266,0.00019727715644606331,0.07578423878703543,0.1,1.0,optimal,0
2005-12-30,0.20000000264320855,0.08660218108912834,0.07263564616014939,0.16405056469310775,0.05971357788675303,0.016447966668836533,0.1937396009199709,0.18009883501443502,1.8610867636136822e-08,0.0,0.026711606313542944,1.0,0.3721003386911168,0.0001860501693455584,0.07973491842791566,0.1,1.0,optimal,0
2006-01-25,0.2000000001391635,0.09166821797912236,0.09106078151814757,0.08817448807869703,0.102725930066885,0.08936651696693479,0.06630995819789504,0.09176615678249583,0.0998314368920773,0.0,0.07909651337858155,1.0,0.5820704313906622,0.0002910352156953311,0.0675890775517263,0.05,1.0,optimal,0
2006-02-28,0.2000000000204696,0.08699347435381989,0.08639270831080564,0.08971241048037686,0.10058990930779522,0.09505238162946726,0.0691101717517518,0.07981049184037509,0.10543704257812213,0.0,0.08690140972701646,1.0,0.0461758185133265,2.308790925666325e-05,0.06817540922354987,0.05,1.0,optimal,0
2006-03-31,0.20000000006567248,0.09170688165671391,0.08594632449379377,0.08376241471120902,0.09557402332993188,0.0869880401012542,0.06725662551187958,0.09825721208842352,0.10192409821393848,0.0,0.08858437982718328,1.0,0.06419282483965454,3.209641241982727e-05,0.0678149720758689,0.05,1.0,optimal,0
2006-04-28,0.20000000017557631,0.09971091763432702,0.08813039235209666,0.08686946602933976,0.10090732410468295,0.08117495822447736,0.022009714479661758,0.10798348522711511,0.12963723372089325,0.0,0.08357650805182998,1.0,0.1364517054666334,6.82258527333167e-05,0.07055167156695359,0.05,1.0,optimal,0
2006-05-31,0.20000000006357047,0.09749402252904478,0.08910470809755745,0.08976953155383267,0.1012094298503259,0.06813683138791952,0.031626859642198774,0.10585612322852136,0.12964474556915256,0.0,0.08715774807787652,1.0,0.06772980968229217,3.386490484114609e-05,0.07057613534179266,0.05,1.0,optimal,0
2006-06-30,0.20817650320759362,0.14999999976918071,0.09828112458814668,0.05601555610550969,2.5529133338825063e-10,0.1841594338740413,0.06584056583613715,1.5875587797529575e-10,0.19999999984225364,0.0,0.03752681636309011,1.0,0.5874153929061153,0.00029370769645305764,0.09807090045920405,0.1,1.0,optimal,0
2006-07-31,0.200000000346649,0.10211482586911794,0.10143586869335919,0.10259917698439674,0.11055963587565099,0.07547247984453509,0.039682674362929875,0.07496801159478042,0.10097275052147768,0.0,0.09219457590710303,1.0,0.575849065748267,0.0002879245328741335,0.07139230521795063,0.05,1.0,optimal,0
2006-08-31,0.20000000002089122,0.09714963558347506,0.0927465615692643,0.09412729266047536,0.10584397241211177,0.0897698871035371,0.04465702062315809,0.08083086569952176,0.11261966535430774,0.0,0.08225509897325772,1.0,0.06887431491785379,3.4437157458926895e-05,0.06957377747640085,0.05,1.0,optimal,0
2006-09-29,0.20000000029029782,0.09517241374750689,0.09479659659145488,0.09174573412987193,0.10805961524004311,0.09008661514018022,0.04205049166017287,0.07818154264232931,0.11488994766072075,0.0,0.08501704289742223,1.0,0.024259031109222173,1.2129515554611088e-05,0.06949933081589742,0.05,1.0,optimal,0
2006-10-31,0.20000000001058624,0.09882229900039376,0.08877189317244755,0.08479777184515382,0.1019102508553523,0.09762620454741901,0.05789755707661769,0.08411350566083005,0.10737979115234614,0.0,0.07868072667885344,1.0,0.06185497272315933,3.092748636157967e-05,0.06848078132701002,0.05,1.0,optimal,0
2006-11-30,0.20000001016768001,0.14999999680059473,0.13715597206005026,0.06284401658638675,0.05445259845278821,1.7751803002463565e-07,0.1955472190263037,4.694563789714833e-09,0.1999999995625007,0.0,5.131101723860924e-09,1.0,0.6407490312673784,0.0003203745156336892,0.08828208274700146,0.1,1.0,optimal,0
2006-12-29,0.20000000003233256,0.09828409112486333,0.08783471258962824,0.08451631823673714,0.08620017353259678,0.08304751303258075,0.0677923725535083,0.08415988467431285,0.12880005589428278,0.0,0.07936487832915727,1.0,0.6159538695932081,0.00030797693479660406,0.06869101542374996,0.05,1.0,optimal,0
2007-01-31,0.2000000000374423,0.0961017564683266,0.09073964419241426,0.08830442965154718,0.10577579252150401,0.10229381933070118,0.06833838037186905,0.09258764885468401,0.06730268385800685,0.0,0.08855584471350454,1.0,0.15642898925039578,7.821449462519789e-05,0.07019317032478652,0.05,1.0,optimal,0
2007-02-28,0.2000000000735931,0.09149627864363363,0.09152371529433655,0.08791396739314816,0.09961762494054731,0.0953611282309582,0.07113880974338058,0.09890945703029247,0.08425038116572699,0.0,0.07978863748438296,1.0,0.045218670124767976,2.260933506238399e-05,0.07051184209901454,0.05,1.0,optimal,0
2007-03-30,0.2000000000757702,0.09620257053383813,0.0895890242599188,0.08569608178234851,0.09504217543103864,0.09172464184950725,0.07847532610398232,0.08590720501702644,0.09885065020588205,0.0,0.07851232474068781,1.0,0.04234507042074365,2.1172535210371824e-05,0.06864104402173686,0.05,1.0,optimal,0
2007-04-27,0.200000000226896,0.09343460858700435,0.09061098248465224,0.0872669451015721,0.09541604792743703,0.09226341411604658,0.06595191312800051,0.08519554189377711,0.11117307960339586,0.0,0.07868746693121832,1.0,0.042951841342946925,2.1475920671473463e-05,0.06985789577829758,0.05,1.0,optimal,0
2007-05-31,0.20000000014187758,0.09266576773245162,0.08900308516075148,0.0855907120603182,0.09723134370647055,0.09222313436390582,0.0745247347888287,0.08944560820310135,0.09574286473844394,0.0,0.08357274910385074,1.0,0.06207027294872382,3.103513647436191e-05,0.06976253443629742,0.05,1.0,optimal,0
2007-06-29,0.20000000015334393,0.10203958258628114,0.09851550218530494,0.09508925394690369,0.09039634457238319,0.10575661869910956,0.07014280126830522,0.09585166952245433,0.05344375622466638,0.0,0.08876447084124768,1.0,0.08485119767186923,4.242559883593462e-05,0.07002987637023371,0.05,1.0,optimal,0
2007-07-31,0.20000000013436753,0.10242962949265509,0.09283454006843797,0.09552847104525107,0.08481540022585218,0.1031001307087296,0.07595940943612096,0.08856441600258977,0.07136568598287907,0.0,0.08540231690311682,1.0,0.04213164254294331,2.1065821271471656e-05,0.07036063999067403,0.05,1.0,optimal,0
2007-08-31,0.2000000000607796,0.09941075768569547,0.09577447287043245,0.09784536580221709,0.07020035071790605,0.11104916470970184,0.06950688170266103,0.09392559313484884,0.07334297791071345,0.0,0.08894443540504432,1.0,0.057533556143958664,2.8766778071979332e-05,0.07076276333367279,0.05,1.0,optimal,0
