date,fold_id,regime,optimizer_status,used_fallback,turnover,turnover_cost,ex_ante_vol,active_vol_budget,guardrail_multiplier,p_risk_on,p_neutral,p_stress
2003-01-29,1,risk_on,fallback,1,0.19999999999999984,9.999999999999992e-05,1.7921340384368898,0.1,1.0,0.5060601552498696,0.493904258383326,3.558636681299697e-05
2003-02-28,1,risk_on,fallback,1,0.0,0.0,1.6584508177006847,0.1,1.0,0.5041465949432379,0.4958534050161984,4.04692716765262e-11
2003-03-31,1,stress,optimal,0,1.0724494246112015,0.0005362247123056008,0.7941198970271718,0.05,1.0,5.192026057123921e-06,2.83078661345483e-06,0.9999919771872878
2003-04-30,1,risk_on,fallback,1,0.007855514615925539,3.927757307962769e-06,0.7637898125367052,0.1,1.0,0.5029962039174307,0.4970029567437869,8.39338665485818e-07
2003-05-30,1,risk_on,optimal,0,0.0779843800444133,3.899219002220665e-05,0.6873455780643133,0.1,1.0,0.5037349666093098,0.49626503339083344,6.904831168358523e-14
2003-06-30,1,risk_on,fallback,1,0.007845271804403715,3.922635902201858e-06,0.8830447647640349,0.1,1.0,0.5025490970052429,0.49745090093093014,2.063752040353061e-09
2003-07-31,1,neutral,optimal,0,0.43531137559346084,0.00021765568779673043,0.7374806407918857,0.08,1.0,0.49813416767221796,0.500792253250634,0.0010735790773513895
2003-08-29,1,risk_on,optimal,0,0.03626466462815588,1.813233231407794e-05,0.7033140753787976,0.1,1.0,0.9999999820138329,1.0721605231427243e-08,7.264552100188086e-09
2003-09-30,1,risk_on,optimal,0,0.04797227973275358,2.3986139866376792e-05,0.7763364265150747,0.1,1.0,0.5061742106026043,0.49382578939743704,2.37556489724666e-32
2003-10-31,1,risk_on,fallback,1,0.0,0.0,0.7290259788745322,0.1,1.0,0.9999999999281499,4.6139364986691294e-11,2.553744713776569e-11
2003-11-28,1,risk_on,optimal,0,0.0486910433043014,2.43455216521507e-05,0.6661398027973685,0.1,1.0,0.9999999999427018,4.704482369110816e-11,1.0315863519839077e-11
2003-12-30,1,risk_on,optimal,0,0.03180882461636543,1.5904412308182715e-05,0.611034344449219,0.1,1.0,0.503458156527473,0.49654184347255087,5.387345489684807e-47
2004-01-30,1,risk_on,optimal,0,0.09308113763140691,4.6540568815703454e-05,0.5563389304824876,0.1,1.0,0.5038495615922677,0.49615043840794565,1.3396712346580848e-51
2004-02-27,1,risk_on,optimal,0,0.09262607126020952,4.6313035630104765e-05,0.5000155430259791,0.1,1.0,0.503866987633963,0.49613301236612906,3.7734280279733297e-44
2004-03-31,1,risk_on,optimal,0,0.03448466133438192,1.724233066719096e-05,0.5974559881555512,0.1,1.0,0.5032842179437901,0.49671578205643263,2.254606330322871e-44
2004-04-30,1,risk_on,optimal,0,0.06983410839096608,3.491705419548304e-05,0.6070340686836213,0.1,1.0,0.5027089270912101,0.4972910729089617,4.797533040211281e-54
2004-05-28,1,risk_on,optimal,0,0.02097686050600105,1.0488430253000525e-05,0.5784922358543511,0.1,1.0,0.502943371751107,0.4970566282488327,2.6758351520235527e-51
2004-06-30,1,risk_on,optimal,0,0.03800861764428065,1.9004308822140325e-05,0.5460046305387317,0.1,1.0,0.5019331077543516,0.4980668922454431,1.3864011448161261e-55
2004-07-30,1,risk_on,optimal,0,0.030396343321471484,1.5198171660735742e-05,0.5227986239483736,0.1,1.0,0.5063175418053206,0.49368245819482376,1.8398838530043022e-50
2004-08-31,1,neutral,optimal,0,0.03413773141120721,1.7068865705603605e-05,0.5334015785216372,0.08,1.0,0.4983112370949619,0.501688762904868,1.6211074822228121e-46
2004-09-30,1,risk_on,optimal,0,0.03190277860820439,1.5951389304102197e-05,0.498850862692124,0.1,1.0,0.5149820999285623,0.48501790007156387,1.3161200770934292e-25
2004-10-29,1,neutral,optimal,0,0.018362633739976264,9.181316869988131e-06,0.49653515044844915,0.08,1.0,0.4950637869405911,0.5049362130596028,1.112648131056745e-56
2004-11-30,1,neutral,optimal_inaccurate,0,0.046121368565445006,2.3060684282722505e-05,0.4809524335084741,0.08,1.0,0.4996518924691253,0.500348107531094,5.59906902109053e-63
2004-12-30,1,risk_on,optimal,0,0.04348144801279864,2.1740724006399323e-05,0.4665687464845732,0.1,1.0,0.5006386039900634,0.499361396009786,6.824647471841621e-65
2005-01-31,1,neutral,optimal,0,0.05113542740225341,2.5567713701126706e-05,0.4591298464051675,0.08,1.0,0.4875076474675755,0.512492352532542,1.3215015369894372e-47
2005-02-28,1,stress,optimal,0,0.02265037186991118,1.132518593495559e-05,0.45951035464451573,0.05,1.0,9.32811520560294e-20,6.519955993492845e-20,1.0
2005-03-31,1,neutral,optimal,0,0.030077270522897416,1.5038635261448709e-05,0.46655366484112676,0.08,1.0,0.4967923448934072,0.5032076551065645,7.125108096835466e-15
2005-04-28,1,risk_on,optimal,0,0.0358794605938171,1.793973029690855e-05,0.5110532978250213,0.1,1.0,1.0,2.926864849127998e-30,6.907922388796865e-32
2005-05-31,1,risk_on,optimal,0,0.0459812720024102,2.2990636001205102e-05,0.481212922244597,0.1,1.0,1.0,5.663548591520275e-26,3.2527364148102326e-27
2005-06-30,1,neutral,optimal,0,0.04876319669143135,2.4381598345715676e-05,0.45667456836865483,0.08,1.0,0.432740542274993,0.5672594577250683,3.440561945573701e-39
2005-07-29,1,stress,optimal,0,0.05149835905786388,2.574917952893194e-05,0.44276949714807484,0.05,1.0,2.6855916134963106e-43,0.49896848634784385,0.5010315136520884
2005-08-31,1,stress,optimal,0,0.030530453164452208,1.5265226582226103e-05,0.4366864034091352,0.05,1.0,1.5542937970016613e-43,0.4832329982044291,0.5167670017956033
2005-09-30,1,stress,optimal,0,0.04216026918119712,2.1080134590598562e-05,0.4267663009779117,0.05,1.0,5.72030296611056e-44,0.4897130921527118,0.5102869078473677
2005-10-31,1,stress,optimal,0,0.05157282275201285,2.5786411376006427e-05,0.49861822383675664,0.05,1.0,3.962557972185551e-42,0.49863908401780443,0.5013609159823865
2005-11-30,1,risk_on,optimal,0,0.030554659658690246,1.5277329829345124e-05,0.44961690501901774,0.1,1.0,1.0,7.979244699306154e-17,1.6368255151332804e-16
2005-12-30,1,risk_on,optimal,0,0.05159197791973971,2.5795988959869857e-05,0.4279430217099168,0.1,1.0,1.0,5.029888134885978e-18,8.31000205559634e-18
2006-01-25,1,stress,optimal,0,0.06031000211055281,3.0155001055276406e-05,0.4325959609879417,0.05,1.0,5.720004463243495e-55,0.48882232663099145,0.5111776733690897
2006-02-28,1,stress,optimal,0,0.02713409907381827,1.3567049536909135e-05,0.4254776600973087,0.05,1.0,9.49511468553165e-55,0.48719538054094375,0.5128046194590584
2006-03-31,1,stress,optimal,0,0.03521447567078401,1.7607237835392005e-05,0.4173630941597694,0.05,1.0,2.944878798508468e-10,0.4960174462236537,0.5039825534820157
2006-04-28,1,stress,optimal,0,0.051269307024908124,2.5634653512454064e-05,0.4149826288998232,0.05,1.0,2.3631270800288176e-10,0.4959698758991777,0.5040301238647088
2006-05-31,1,stress,optimal,0,0.07045571170017102,3.522785585008551e-05,0.4535468180723949,0.05,1.0,2.340360900154771e-15,0.49389494421611624,0.5061050557840107
