date,fold_id,regime,optimizer_status,used_fallback,turnover,turnover_cost,ex_ante_vol,active_vol_budget,guardrail_multiplier,p_risk_on,p_neutral,p_stress
2003-01-29,1,risk_on,optimal,0,0.7999999867950119,0.00039999999339750597,0.09118517056777034,0.1,1.0,0.5060601552498696,0.493904258383326,3.558636681299697e-05
2003-02-28,1,risk_on,optimal,0,0.19890346493234495,9.945173246617248e-05,0.08797539110129764,0.1,1.0,0.5041465949432379,0.4958534050161984,4.04692716765262e-11
2003-03-31,1,stress,optimal,0,0.555464585439663,0.00027773229271983155,0.07361625245460547,0.05,1.0,5.192026057123921e-06,2.83078661345483e-06,0.9999919771872878
2003-04-30,1,risk_on,optimal,0,0.6268129748578796,0.0003134064874289398,0.08631597833369536,0.1,1.0,0.5029962039174307,0.4970029567437869,8.39338665485818e-07
2003-05-30,1,risk_on,optimal,0,0.5205705037547111,0.0002602852518773556,0.08491325200237189,0.1,1.0,0.5037349666093098,0.49626503339083344,6.904831168358523e-14
2003-06-30,1,risk_on,optimal,0,0.569989134766816,0.000284994567383408,0.08460563107924372,0.1,1.0,0.5025490970052429,0.49745090093093014,2.063752040353061e-09
2003-07-31,1,neutral,optimal,0,0.27395745411965994,0.00013697872705982996,0.0799999977148353,0.08,1.0,0.49813416767221796,0.500792253250634,0.0010735790773513895
2003-08-29,1,risk_on,optimal,0,0.3616069700827724,0.00018080348504138623,0.08826846733799004,0.1,1.0,0.9999999820138329,1.0721605231427243e-08,7.264552100188086e-09
2003-09-30,1,risk_on,optimal,0,0.10189090792095357,5.094545396047678e-05,0.08728597103912347,0.1,1.0,0.5061742106026043,0.49382578939743704,2.37556489724666e-32
2003-10-31,1,risk_on,optimal,0,0.07894639119074667,3.947319559537334e-05,0.08662604945216644,0.1,1.0,0.9999999999281499,4.6139364986691294e-11,2.553744713776569e-11
2003-11-28,1,risk_on,optimal,0,0.36945753123873987,0.00018472876561936993,0.08216151586782452,0.1,1.0,0.9999999999427018,4.704482369110816e-11,1.0315863519839077e-11
2003-12-30,1,risk_on,optimal,0,0.3298028198433437,0.00016490140992167184,0.08497377054067451,0.1,1.0,0.503458156527473,0.49654184347255087,5.387345489684807e-47
2004-01-30,1,risk_on,optimal,0,0.26217406435626234,0.00013108703217813117,0.08546515230032764,0.1,1.0,0.5038495615922677,0.49615043840794565,1.3396712346580848e-51
2004-02-27,1,risk_on,optimal,0,0.23156296129010492,0.00011578148064505247,0.09105845237171148,0.1,1.0,0.503866987633963,0.49613301236612906,3.7734280279733297e-44
2004-03-31,1,risk_on,optimal,0,0.23904266784941455,0.00011952133392470729,0.0855837267250486,0.1,1.0,0.5032842179437901,0.49671578205643263,2.254606330322871e-44
2004-04-30,1,risk_on,optimal,0,0.28982322957180434,0.00014491161478590218,0.07999916875910679,0.1,1.0,0.5027089270912101,0.4972910729089617,4.797533040211281e-54
2004-05-28,1,risk_on,optimal,0,0.2457589681565062,0.0001228794840782531,0.08583193003374118,0.1,1.0,0.502943371751107,0.4970566282488327,2.6758351520235527e-51
2004-06-30,1,risk_on,optimal,0,0.15791010272684333,7.895505136342167e-05,0.08406896914588066,0.1,1.0,0.5019331077543516,0.4980668922454431,1.3864011448161261e-55
