comparison,grouping,component,total_contribution
taa_vs_saa,asset,SPXT,-0.28787998302835516
taa_vs_saa,asset,FTSE100,-0.020147642793927917
taa_vs_saa,asset,LBUSTRUU,0.15670251703254898
taa_vs_saa,asset,BROAD_TIPS,0.12979282361928546
taa_vs_saa,asset,B3REITT,-0.02336566673753402
taa_vs_saa,asset,XAU,-0.4256062249129452
taa_vs_saa,asset,SILVER_FUT,-0.18691521578149872
taa_vs_saa,asset,NIKKEI225,-0.06024239671821922
taa_vs_saa,asset,CSI300_CHINA,-0.24153366329779116
taa_vs_saa,asset,BITCOIN,-0.735090666634268
taa_vs_saa,asset,CHF_FRANC,-0.03848115926671563
taa_vs_saa,tier,Core,-0.02153228517044864
taa_vs_saa,tier,Non-Traditional,-0.7735718259009836
taa_vs_saa,tier,Satellite,-0.9376631674479883
taa_vs_saa,total,total,-1.7327672785194206
taa_vs_bm1,asset,SPXT,-1.1688924798926066
taa_vs_bm1,asset,FTSE100,0.03973861326094435
taa_vs_bm1,asset,LBUSTRUU,-0.04885733897829102
taa_vs_bm1,asset,BROAD_TIPS,0.19730699160348014
taa_vs_bm1,asset,B3REITT,0.12200075707284767
taa_vs_bm1,asset,XAU,0.09171626677600289
taa_vs_bm1,asset,SILVER_FUT,0.03944866017231666
taa_vs_bm1,asset,NIKKEI225,0.029431673012666602
taa_vs_bm1,asset,CSI300_CHINA,0.039070285926016864
taa_vs_bm1,asset,BITCOIN,0.25286313657802845
taa_vs_bm1,asset,CHF_FRANC,-0.05146683965894419
taa_vs_bm1,tier,Core,-0.9807042140064731
taa_vs_bm1,tier,Non-Traditional,0.20139629691908426
taa_vs_bm1,tier,Satellite,0.3216676429598507
taa_vs_bm1,total,total,-0.45764027412753827
taa_vs_bm2,asset,SPXT,-0.5909217262158759
taa_vs_bm2,asset,FTSE100,0.03973861326094435
taa_vs_bm2,asset,LBUSTRUU,0.1775031159453172
taa_vs_bm2,asset,BROAD_TIPS,0.15591789176635185
taa_vs_bm2,asset,B3REITT,-0.12560397150812452
taa_vs_bm2,asset,XAU,-0.34363175676601143
taa_vs_bm2,asset,SILVER_FUT,-0.15796268797801655
taa_vs_bm2,asset,NIKKEI225,-0.050893807031368574
taa_vs_bm2,asset,CSI300_CHINA,-0.12537627412777522
taa_vs_bm2,asset,BITCOIN,0.25286313657802845
taa_vs_bm2,asset,CHF_FRANC,-0.029867589589602204
taa_vs_bm2,tier,Core,-0.2177621052432625
taa_vs_bm2,tier,Non-Traditional,0.22299554698842625
taa_vs_bm2,tier,Satellite,-0.8034684974112962
taa_vs_bm2,total,total,-0.7982350556661327
