date,macro_OECD_CLI_USA
1955-01-01,101.3009
1955-02-01,101.621
1955-03-01,101.8862
1955-04-01,102.0731
1955-05-01,102.1814
1955-06-01,102.2177
1955-07-01,102.2203
1955-08-01,102.2076
1955-09-01,102.1845
1955-10-01,102.1364
1955-11-01,102.0327
1955-12-01,101.8515
1956-01-01,101.5868
1956-02-01,101.2797
1956-03-01,100.9792
1956-04-01,100.699
1956-05-01,100.4564
1956-06-01,100.29
1956-07-01,100.2304
1956-08-01,100.2786
1956-09-01,100.3855
1956-10-01,100.4984
1956-11-01,100.5732
1956-12-01,100.567
1957-01-01,100.4625
1957-02-01,100.2997
1957-03-01,100.0827
1957-04-01,99.84571
1957-05-01,99.61492
1957-06-01,99.36835
1957-07-01,99.0758
1957-08-01,98.71835
1957-09-01,98.29863
1957-10-01,97.85729
1957-11-01,97.4575
1957-12-01,97.14787
1958-01-01,96.98372
1958-02-01,96.99688
1958-03-01,97.18298
1958-04-01,97.5198
1958-05-01,97.99331
1958-06-01,98.55898
1958-07-01,99.15711
1958-08-01,99.74895
1958-09-01,100.3171
1958-10-01,100.8622
1958-11-01,101.3731
1958-12-01,101.839
1959-01-01,102.2598
1959-02-01,102.5955
1959-03-01,102.8083
1959-04-01,102.8756
1959-05-01,102.7904
1959-06-01,102.5626
1959-07-01,102.231
1959-08-01,101.8634
1959-09-01,101.5243
1959-10-01,101.2514
1959-11-01,101.051
1959-12-01,100.8933
1960-01-01,100.6913
1960-02-01,100.4165
1960-03-01,100.1121
1960-04-01,99.82441
1960-05-01,99.57291
1960-06-01,99.35302
1960-07-01,99.14601
1960-08-01,98.94968
1960-09-01,98.75539
1960-10-01,98.58868
1960-11-01,98.4793
1960-12-01,98.45916
1961-01-01,98.54543
1961-02-01,98.7562
1961-03-01,99.07895
1961-04-01,99.46701
1961-05-01,99.86288
1961-06-01,100.2311
1961-07-01,100.5481
1961-08-01,100.8071
1961-09-01,100.996
1961-10-01,101.1128
1961-11-01,101.1628
1961-12-01,101.1342
1962-01-01,101.02
1962-02-01,100.837
1962-03-01,100.5874
1962-04-01,100.2945
1962-05-01,99.99861
1962-06-01,99.74097
1962-07-01,99.56329
1962-08-01,99.47347
1962-09-01,99.46961
1962-10-01,99.53916
1962-11-01,99.66577
1962-12-01,99.81844
1963-01-01,99.96941
1963-02-01,100.1003
1963-03-01,100.2036
1963-04-01,100.2757
1963-05-01,100.3029
1963-06-01,100.285
1963-07-01,100.2416
1963-08-01,100.1968
1963-09-01,100.1723
1963-10-01,100.1643
1963-11-01,100.1683
1963-12-01,100.1967
1964-01-01,100.2598
1964-02-01,100.337
1964-03-01,100.4225
1964-04-01,100.5071
1964-05-01,100.5844
1964-06-01,100.6539
1964-07-01,100.7116
1964-08-01,100.7502
1964-09-01,100.7887
1964-10-01,100.8324
1964-11-01,100.8963
1964-12-01,100.9726
1965-01-01,101.0401
1965-02-01,101.0802
1965-03-01,101.0817
1965-04-01,101.0416
1965-05-01,100.9766
1965-06-01,100.9164
1965-07-01,100.8949
1965-08-01,100.9297
1965-09-01,101.0271
1965-10-01,101.1765
1965-11-01,101.3537
1965-12-01,101.5236
1966-01-01,101.6441
1966-02-01,101.6732
1966-03-01,101.5878
1966-04-01,101.3903
1966-05-01,101.1033
1966-06-01,100.782
1966-07-01,100.4533
1966-08-01,100.1348
1966-09-01,99.83085
1966-10-01,99.53641
1966-11-01,99.26323
1966-12-01,99.02983
1967-01-01,98.85872
1967-02-01,98.76607
1967-03-01,98.77964
1967-04-01,98.90298
1967-05-01,99.12391
1967-06-01,99.40025
1967-07-01,99.69651
1967-08-01,99.98224
1967-09-01,100.2284
1967-10-01,100.4244
1967-11-01,100.5662
1967-12-01,100.6552
1968-01-01,100.6881
1968-02-01,100.6923
1968-03-01,100.6864
1968-04-01,100.6806
1968-05-01,100.6819
1968-06-01,100.7034
1968-07-01,100.7575
1968-08-01,100.855
1968-09-01,100.9957
1968-10-01,101.1359
1968-11-01,101.224
1968-12-01,101.2417
1969-01-01,101.1935
1969-02-01,101.0867
1969-03-01,100.9302
1969-04-01,100.7249
1969-05-01,100.4757
1969-06-01,100.2232
1969-07-01,99.99941
1969-08-01,99.81284
1969-09-01,99.6427
1969-10-01,99.45759
1969-11-01,99.23992
1969-12-01,98.98592
1970-01-01,98.70324
1970-02-01,98.42298
1970-03-01,98.17242
1970-04-01,97.97534
1970-05-01,97.85788
1970-06-01,97.81253
