date,trailing_dd,action
2008-09-26,-0.17075937534537733,tighten
2009-08-28,-0.03819463283596669,release
2011-08-31,-0.17910972893273858,tighten
2012-03-30,-0.06731221141330923,release
2013-04-26,-0.18762882257915314,tighten
2014-05-30,-0.040623574741984636,release
2020-03-31,-0.22245083010804445,tighten
2020-07-31,-0.03185813042378316,release
2022-06-30,-0.16294087253646838,tighten
2023-01-31,-0.04542549802613116,release
