date,fold_id,decision_date,regime,gross_return,turnover_cost,portfolio_return
2003-01-30,1,2003-01-29,risk_on,0.0016599966739199172,0.00044186602979872383,0.0012181306441211934
2003-01-31,1,2003-01-29,risk_on,-0.00013750010333513898,0.0,-0.00013750010333513898
2003-02-03,1,2003-01-29,risk_on,0.003111661278184685,0.0,0.003111661278184685
2003-02-04,1,2003-01-29,risk_on,0.009671008927698807,0.0,0.009671008927698807
2003-02-05,1,2003-01-29,risk_on,-0.014749874843872269,0.0,-0.014749874843872269
2003-02-06,1,2003-01-29,risk_on,-0.0037273973627757616,0.0,-0.0037273973627757616
2003-02-07,1,2003-01-29,risk_on,-0.0024949149443227363,0.0,-0.0024949149443227363
2003-02-10,1,2003-01-29,risk_on,-0.006945096903586682,0.0,-0.006945096903586682
2003-02-11,1,2003-01-29,risk_on,0.0003930458333575766,0.0,0.0003930458333575766
2003-02-12,1,2003-01-29,risk_on,-0.0128427249890621,0.0,-0.0128427249890621
2003-02-13,1,2003-01-29,risk_on,0.00479150325399551,0.0,0.00479150325399551
2003-02-14,1,2003-01-29,risk_on,-0.00048120535323061583,0.0,-0.00048120535323061583
2003-02-17,1,2003-01-29,risk_on,-0.006028026315847723,0.0,-0.006028026315847723
2003-02-18,1,2003-01-29,risk_on,0.00446434364158968,0.0,0.00446434364158968
2003-02-19,1,2003-01-29,risk_on,0.006742307472642722,0.0,0.006742307472642722
2003-02-20,1,2003-01-29,risk_on,0.003397387061819881,0.0,0.003397387061819881
2003-02-21,1,2003-01-29,risk_on,0.001408551654477187,0.0,0.001408551654477187
2003-02-24,1,2003-01-29,risk_on,0.004097663134399659,0.0,0.004097663134399659
2003-02-25,1,2003-01-29,risk_on,-0.004451507597875262,0.0,-0.004451507597875262
2003-02-26,1,2003-01-29,risk_on,-0.00025022251475858063,0.0,-0.00025022251475858063
2003-02-27,1,2003-01-29,risk_on,-0.007218975598275419,0.0,-0.007218975598275419
2003-02-28,1,2003-01-29,risk_on,0.006933379610581254,0.0,0.006933379610581254
2003-03-03,1,2003-02-28,risk_on,1.306109738359663e-05,0.00012955860963636677,-0.00011649751225277014
2003-03-04,1,2003-02-28,risk_on,0.0007493419156963853,0.0,0.0007493419156963853
2003-03-05,1,2003-02-28,risk_on,0.0010021371359286702,0.0,0.0010021371359286702
2003-03-06,1,2003-02-28,risk_on,-0.0009399919428937258,0.0,-0.0009399919428937258
2003-03-07,1,2003-02-28,risk_on,-0.0014640239722568966,0.0,-0.0014640239722568966
2003-03-10,1,2003-02-28,risk_on,-0.0033387929718486867,0.0,-0.0033387929718486867
2003-03-11,1,2003-02-28,risk_on,-0.004234884672688328,0.0,-0.004234884672688328
2003-03-12,1,2003-02-28,risk_on,-0.0028388464557998717,0.0,-0.0028388464557998717
2003-03-13,1,2003-02-28,risk_on,-0.005894237436416385,0.0,-0.005894237436416385
2003-03-14,1,2003-02-28,risk_on,0.0008196635733635709,0.0,0.0008196635733635709
2003-03-17,1,2003-02-28,risk_on,0.0037158658354898354,0.0,0.0037158658354898354
2003-03-18,1,2003-02-28,risk_on,-0.0004962923365817024,0.0,-0.0004962923365817024
2003-03-19,1,2003-02-28,risk_on,-0.0013217546755897658,0.0,-0.0013217546755897658
2003-03-20,1,2003-02-28,risk_on,-0.003912918018135122,0.0,-0.003912918018135122
2003-03-21,1,2003-02-28,risk_on,-0.0010935725661993874,0.0,-0.0010935725661993874
2003-03-24,1,2003-02-28,risk_on,-0.0022903472404867506,0.0,-0.0022903472404867506
2003-03-25,1,2003-02-28,risk_on,0.0014490449809916959,0.0,0.0014490449809916959
2003-03-26,1,2003-02-28,risk_on,0.00023091981873440886,0.0,0.00023091981873440886
2003-03-27,1,2003-02-28,risk_on,0.0023058463942741162,0.0,0.0023058463942741162
2003-03-28,1,2003-02-28,risk_on,0.0016640948767440136,0.0,0.0016640948767440136
2003-03-31,1,2003-02-28,risk_on,0.003570648753016994,0.0,0.003570648753016994
2003-04-01,1,2003-03-31,stress,0.0010542149014500432,5.6450879339944714e-05,0.0009977640221100984
2003-04-02,1,2003-03-31,stress,-0.0010310011392438893,0.0,-0.0010310011392438893
2003-04-03,1,2003-03-31,stress,-0.005083108772867814,0.0,-0.005083108772867814
2003-04-04,1,2003-03-31,stress,0.0009552683710636465,0.0,0.0009552683710636465
2003-04-07,1,2003-03-31,stress,-0.0038679137595253915,0.0,-0.0038679137595253915
2003-04-08,1,2003-03-31,stress,0.0017057655291516601,0.0,0.0017057655291516601
2003-04-09,1,2003-03-31,stress,0.0029968293235708623,0.0,0.0029968293235708623
2003-04-10,1,2003-03-31,stress,0.0016933614559533274,0.0,0.0016933614559533274
2003-04-11,1,2003-03-31,stress,0.0013517032339304068,0.0,0.0013517032339304068
2003-04-14,1,2003-03-31,stress,0.004097640713762874,0.0,0.004097640713762874
2003-04-15,1,2003-03-31,stress,0.00310552624610643,0.0,0.00310552624610643
2003-04-16,1,2003-03-31,stress,-0.002589651147502951,0.0,-0.002589651147502951
2003-04-17,1,2003-03-31,stress,0.0035328807521003854,0.0,0.0035328807521003854
2003-04-18,1,2003-03-31,stress,-0.0014711555132838675,0.0,-0.0014711555132838675
2003-04-21,1,2003-03-31,stress,0.0037704203843409306,0.0,0.0037704203843409306
2003-04-22,1,2003-03-31,stress,0.0045382877862725005,0.0,0.0045382877862725005
2003-04-23,1,2003-03-31,stress,-0.0013493031020519435,0.0,-0.0013493031020519435
2003-04-24,1,2003-03-31,stress,-0.00011966493837683682,0.0,-0.00011966493837683682
2003-04-25,1,2003-03-31,stress,-0.004138837570164495,0.0,-0.004138837570164495
2003-04-28,1,2003-03-31,stress,0.007795953400537561,0.0,0.007795953400537561
2003-04-29,1,2003-03-31,stress,-0.0018731484998031705,0.0,-0.0018731484998031705
2003-04-30,1,2003-03-31,stress,0.006808543389023116,0.0,0.006808543389023116
2003-05-01,1,2003-04-30,risk_on,0.004325128683104956,0.0001400127818849131,0.004185115901220044
2003-05-02,1,2003-04-30,risk_on,0.0030083261930465054,0.0,0.0030083261930465054
2003-05-05,1,2003-04-30,risk_on,0.0017099730498251926,0.0,0.0017099730498251926
2003-05-06,1,2003-04-30,risk_on,0.006170564204664974,0.0,0.006170564204664974
2003-05-07,1,2003-04-30,risk_on,-0.0023964709548845737,0.0,-0.0023964709548845737
2003-05-08,1,2003-04-30,risk_on,0.003987934504516667,0.0,0.003987934504516667
2003-05-09,1,2003-04-30,risk_on,0.003890684307083137,0.0,0.003890684307083137
2003-05-12,1,2003-04-30,risk_on,0.007312792316965646,0.0,0.007312792316965646
2003-05-13,1,2003-04-30,risk_on,-0.0015327615614561297,0.0,-0.0015327615614561297
2003-05-14,1,2003-04-30,risk_on,0.0035654475209243638,0.0,0.0035654475209243638
2003-05-15,1,2003-04-30,risk_on,0.0011263294407605536,0.0,0.0011263294407605536
2003-05-16,1,2003-04-30,risk_on,0.0033702553891035484,0.0,0.0033702553891035484
2003-05-19,1,2003-04-30,risk_on,0.0025135729330841906,0.0,0.0025135729330841906
2003-05-20,1,2003-04-30,risk_on,0.0015754928654767432,0.0,0.0015754928654767432
2003-05-21,1,2003-04-30,risk_on,0.0031659138302752377,0.0,0.0031659138302752377
2003-05-22,1,2003-04-30,risk_on,-0.0007521476344807504,0.0,-0.0007521476344807504
2003-05-23,1,2003-04-30,risk_on,0.0011542804048406993,0.0,0.0011542804048406993
2003-05-26,1,2003-04-30,risk_on,0.0015881169988895142,0.0,0.0015881169988895142
2003-05-27,1,2003-04-30,risk_on,-0.0011394391445886456,0.0,-0.0011394391445886456
2003-05-28,1,2003-04-30,risk_on,0.00028836686442973897,0.0,0.00028836686442973897
2003-05-29,1,2003-04-30,risk_on,0.004770459991134292,0.0,0.004770459991134292
2003-05-30,1,2003-04-30,risk_on,-0.0025917577167344314,0.0,-0.0025917577167344314
2003-06-02,1,2003-05-30,risk_on,0.00281468649384079,0.00025800399045771094,0.0025566825033830794
2003-06-03,1,2003-05-30,risk_on,-0.0014433217200510028,0.0,-0.0014433217200510028
2003-06-04,1,2003-05-30,risk_on,0.004428729470957644,0.0,0.004428729470957644
2003-06-05,1,2003-05-30,risk_on,0.0030076964656400654,0.0,0.0030076964656400654
2003-06-06,1,2003-05-30,risk_on,-0.004221413934958633,0.0,-0.004221413934958633
2003-06-09,1,2003-05-30,risk_on,-0.006145117878839281,0.0,-0.006145117878839281
2003-06-10,1,2003-05-30,risk_on,-0.00014762947339696473,0.0,-0.00014762947339696473
2003-06-11,1,2003-05-30,risk_on,0.010375461817323522,0.0,0.010375461817323522
2003-06-12,1,2003-05-30,risk_on,-0.000360424400444946,0.0,-0.000360424400444946
2003-06-13,1,2003-05-30,risk_on,0.0001878009570764467,0.0,0.0001878009570764467
2003-06-16,1,2003-05-30,risk_on,0.005613785152915809,0.0,0.005613785152915809
2003-06-17,1,2003-05-30,risk_on,0.001269678361769719,0.0,0.001269678361769719
2003-06-18,1,2003-05-30,risk_on,-0.0050159742412817674,0.0,-0.0050159742412817674
2003-06-19,1,2003-05-30,risk_on,-0.005386672560516694,0.0,-0.005386672560516694
2003-06-20,1,2003-05-30,risk_on,-0.004400466777714923,0.0,-0.004400466777714923
2003-06-23,1,2003-05-30,risk_on,-0.007647563222983905,0.0,-0.007647563222983905
2003-06-24,1,2003-05-30,risk_on,-0.003012220548165923,0.0,-0.003012220548165923
2003-06-25,1,2003-05-30,risk_on,-0.002181503561735628,0.0,-0.002181503561735628
2003-06-26,1,2003-05-30,risk_on,-0.0020091690950181634,0.0,-0.0020091690950181634
2003-06-27,1,2003-05-30,risk_on,-0.005547403502621275,0.0,-0.005547403502621275
2003-06-30,1,2003-05-30,risk_on,-0.0011235821256889659,0.0,-0.0011235821256889659
2003-07-01,1,2003-06-30,risk_on,0.004060320776227026,0.00025290051372014766,0.003807420262506879
2003-07-02,1,2003-06-30,risk_on,0.00747251329797654,0.0,0.00747251329797654
2003-07-03,1,2003-06-30,risk_on,-0.0016750699954414141,0.0,-0.0016750699954414141
2003-07-04,1,2003-06-30,risk_on,-0.00048209369043156864,0.0,-0.00048209369043156864
2003-07-07,1,2003-06-30,risk_on,0.004360511136961942,0.0,0.004360511136961942
2003-07-08,1,2003-06-30,risk_on,-0.0020890856751953316,0.0,-0.0020890856751953316
2003-07-09,1,2003-06-30,risk_on,-0.001768758293658915,0.0,-0.001768758293658915
2003-07-10,1,2003-06-30,risk_on,-0.005387174127546714,0.0,-0.005387174127546714
2003-07-11,1,2003-06-30,risk_on,0.005783093475110144,0.0,0.005783093475110144
2003-07-14,1,2003-06-30,risk_on,0.004072582561027997,0.0,0.004072582561027997
2003-07-15,1,2003-06-30,risk_on,-0.008207717208610374,0.0,-0.008207717208610374
2003-07-16,1,2003-06-30,risk_on,-0.0016033076336452352,0.0,-0.0016033076336452352
2003-07-17,1,2003-06-30,risk_on,-0.005971322428634107,0.0,-0.005971322428634107
2003-07-18,1,2003-06-30,risk_on,0.005654339582921602,0.0,0.005654339582921602
2003-07-21,1,2003-06-30,risk_on,-0.005341062394922474,0.0,-0.005341062394922474
2003-07-22,1,2003-06-30,risk_on,0.0042673243085513905,0.0,0.0042673243085513905
2003-07-23,1,2003-06-30,risk_on,0.004914938577915908,0.0,0.004914938577915908
2003-07-24,1,2003-06-30,risk_on,0.0020955647616475817,0.0,0.0020955647616475817
2003-07-25,1,2003-06-30,risk_on,0.005690665048542432,0.0,0.005690665048542432
2003-07-28,1,2003-06-30,risk_on,-0.0016875274140104165,0.0,-0.0016875274140104165
2003-07-29,1,2003-06-30,risk_on,-0.003649707355842643,0.0,-0.003649707355842643
2003-07-30,1,2003-06-30,risk_on,0.002011523243055866,0.0,0.002011523243055866
2003-07-31,1,2003-06-30,risk_on,-0.00366715338835053,0.0,-0.00366715338835053
2003-08-01,1,2003-07-31,neutral,-0.007267647649132104,0.00019519489296984416,-0.007462842542101948
2003-08-04,1,2003-07-31,neutral,-0.0012209459636634164,0.0,-0.0012209459636634164
2003-08-05,1,2003-07-31,neutral,-0.008207394978805373,0.0,-0.008207394978805373
2003-08-06,1,2003-07-31,neutral,0.0018624126487499118,0.0,0.0018624126487499118
2003-08-07,1,2003-07-31,neutral,0.00677202953427405,0.0,0.00677202953427405
2003-08-08,1,2003-07-31,neutral,0.00020980977674870942,0.0,0.00020980977674870942
2003-08-11,1,2003-07-31,neutral,0.0023578869101459517,0.0,0.0023578869101459517
2003-08-12,1,2003-07-31,neutral,-0.001631259069119764,0.0,-0.001631259069119764
2003-08-13,1,2003-07-31,neutral,0.0006930505456955354,0.0,0.0006930505456955354
2003-08-14,1,2003-07-31,neutral,0.0049444800387490224,0.0,0.0049444800387490224
2003-08-15,1,2003-07-31,neutral,-0.0045018049295079835,0.0,-0.0045018049295079835
2003-08-18,1,2003-07-31,neutral,0.004250663383145063,0.0,0.004250663383145063
2003-08-19,1,2003-07-31,neutral,0.005427239763931095,0.0,0.005427239763931095
2003-08-20,1,2003-07-31,neutral,0.0010553851384859988,0.0,0.0010553851384859988
2003-08-21,1,2003-07-31,neutral,-0.0028840024723632883,0.0,-0.0028840024723632883
2003-08-22,1,2003-07-31,neutral,-0.0030028023611102547,0.0,-0.0030028023611102547
2003-08-25,1,2003-07-31,neutral,-0.0027535764006568187,0.0,-0.0027535764006568187
2003-08-26,1,2003-07-31,neutral,0.0014392426326528347,0.0,0.0014392426326528347
2003-08-27,1,2003-07-31,neutral,0.007648053358857676,0.0,0.007648053358857676
2003-08-28,1,2003-07-31,neutral,0.0018400298054682398,0.0,0.0018400298054682398
2003-08-29,1,2003-07-31,neutral,0.0011716026111698598,0.0,0.0011716026111698598
2003-09-01,1,2003-08-29,risk_on,0.0004992553583473878,0.0002388674345768985,0.0002603879237704893
2003-09-02,1,2003-08-29,risk_on,0.002116912826297611,0.0,0.002116912826297611
2003-09-03,1,2003-08-29,risk_on,0.004814217486793097,0.0,0.004814217486793097
2003-09-04,1,2003-08-29,risk_on,0.0010013946816818417,0.0,0.0010013946816818417
