fold_id,start_date,end_date,days,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,turnover_cost
1,2003-01-30,2007-09-28,1217,0.171226057853755,0.07185400057533159,2.104629618989828,3.096837438924984,-0.09841582936414217,0.003299580466243493
2,2007-10-01,2012-04-27,1195,0.08105144839108225,0.10927963880816009,0.5586717622507683,0.796639035593705,-0.27558355231876774,0.002935160934585099
3,2012-04-30,2016-11-30,1332,0.12410083111350101,0.07777912148614742,1.3384161343612182,2.020724662553176,-0.10367710513474904,0.0040447239983634024
4,2016-12-01,2021-06-30,1511,0.1272824427904693,0.08434478869449322,1.2719510529460092,1.7617341183547544,-0.18959766544555112,0.004782939454217538
5,2021-07-01,2025-12-31,1645,0.057809181575968704,0.07697332044729568,0.49119852640184575,0.6879701301732886,-0.22297677801424165,0.0047151027201585444
