comparison,grouping,component,total_contribution
taa_vs_saa,asset,SPXT,-0.28106306016393845
taa_vs_saa,asset,FTSE100,0.031059767811250097
taa_vs_saa,asset,LBUSTRUU,-0.008823068614457873
taa_vs_saa,asset,BROAD_TIPS,0.02384410680999349
taa_vs_saa,asset,B3REITT,0.11904521164706033
taa_vs_saa,asset,XAU,-0.23813695323691492
taa_vs_saa,asset,SILVER_FUT,0.021821664461283686
taa_vs_saa,asset,NIKKEI225,0.017029885989105355
taa_vs_saa,asset,CSI300_CHINA,-0.017772698040070464
taa_vs_saa,asset,BITCOIN,0.027206531972609527
taa_vs_saa,asset,CHF_FRANC,-0.03530876268574218
taa_vs_saa,tier,Core,-0.23498225415715274
taa_vs_saa,tier,Non-Traditional,-0.008102230713132652
taa_vs_saa,tier,Satellite,-0.098012889179536
taa_vs_saa,total,total,-0.3410973740498214
taa_vs_bm1,asset,SPXT,-1.1620755570281898
taa_vs_bm1,asset,FTSE100,0.09094602386612236
taa_vs_bm1,asset,LBUSTRUU,-0.21438292462529787
taa_vs_bm1,asset,BROAD_TIPS,0.09135827479418818
taa_vs_bm1,asset,B3REITT,0.26441163545744206
taa_vs_bm1,asset,XAU,0.2791855384520332
taa_vs_bm1,asset,SILVER_FUT,0.24818554041509908
taa_vs_bm1,asset,NIKKEI225,0.10670395571999115
taa_vs_bm1,asset,CSI300_CHINA,0.2628312511837375
taa_vs_bm1,asset,BITCOIN,1.0151603351849063
taa_vs_bm1,asset,CHF_FRANC,-0.04829444307797074
taa_vs_bm1,tier,Core,-1.1941541829931772
taa_vs_bm1,tier,Non-Traditional,0.9668658921069356
taa_vs_bm1,tier,Satellite,1.161317921228303
taa_vs_bm1,total,total,0.9340296303420617
taa_vs_bm2,asset,SPXT,-0.5841048033514591
taa_vs_bm2,asset,FTSE100,0.09094602386612236
taa_vs_bm2,asset,LBUSTRUU,0.011977530298310361
taa_vs_bm2,asset,BROAD_TIPS,0.049969174957059936
taa_vs_bm2,asset,B3REITT,0.016806906876469796
taa_vs_bm2,asset,XAU,-0.15616248508998115
taa_vs_bm2,asset,SILVER_FUT,0.05077419226476584
taa_vs_bm2,asset,NIKKEI225,0.026378475675955984
taa_vs_bm2,asset,CSI300_CHINA,0.09838469112994551
taa_vs_bm2,asset,BITCOIN,1.0151603351849063
taa_vs_bm2,asset,CHF_FRANC,-0.026695193008628756
taa_vs_bm2,tier,Core,-0.43121207422996644
taa_vs_bm2,tier,Non-Traditional,0.9884651421762776
taa_vs_bm2,tier,Satellite,0.036181780857155975
taa_vs_bm2,total,total,0.5934348488034671
