date,fold_id,decision_date,regime,gross_return,turnover_cost,portfolio_return
2003-01-30,1,2003-01-29,risk_on,-0.007592912276980685,9.999999999999992e-05,-0.0076929122769806855
2003-01-31,1,2003-01-29,risk_on,0.004657261644683219,0.0,0.004657261644683219
2003-02-03,1,2003-01-29,risk_on,0.004378177579028733,0.0,0.004378177579028733
2003-02-04,1,2003-01-29,risk_on,-0.0002532589323886236,0.0,-0.0002532589323886236
2003-02-05,1,2003-01-29,risk_on,-0.008225826656240994,0.0,-0.008225826656240994
2003-02-06,1,2003-01-29,risk_on,-0.004371757601700434,0.0,-0.004371757601700434
2003-02-07,1,2003-01-29,risk_on,-0.004975203338737687,0.0,-0.004975203338737687
2003-02-10,1,2003-01-29,risk_on,-0.0016689768582399901,0.0,-0.0016689768582399901
2003-02-11,1,2003-01-29,risk_on,-0.002062387916118175,0.0,-0.002062387916118175
2003-02-12,1,2003-01-29,risk_on,-0.009254854024219676,0.0,-0.009254854024219676
2003-02-13,1,2003-01-29,risk_on,0.0009954506728440324,0.0,0.0009954506728440324
2003-02-14,1,2003-01-29,risk_on,0.007753843804173901,0.0,0.007753843804173901
2003-02-17,1,2003-01-29,risk_on,-0.002695535624895514,0.0,-0.002695535624895514
2003-02-18,1,2003-01-29,risk_on,0.008697215794048018,0.0,0.008697215794048018
2003-02-19,1,2003-01-29,risk_on,0.0011162299487376612,0.0,0.0011162299487376612
2003-02-20,1,2003-01-29,risk_on,-0.0023051515921905194,0.0,-0.0023051515921905194
2003-02-21,1,2003-01-29,risk_on,0.003211067769936442,0.0,0.003211067769936442
2003-02-24,1,2003-01-29,risk_on,-0.003678882025055147,0.0,-0.003678882025055147
2003-02-25,1,2003-01-29,risk_on,3.6050833308049065e-06,0.0,3.6050833308049065e-06
2003-02-26,1,2003-01-29,risk_on,-0.004439014463720672,0.0,-0.004439014463720672
2003-02-27,1,2003-01-29,risk_on,0.0002745201261123068,0.0,0.0002745201261123068
2003-02-28,1,2003-01-29,risk_on,0.004327444728033301,0.0,0.004327444728033301
2003-03-03,1,2003-02-28,risk_on,-0.000969071796394217,0.0004598017454844609,-0.001428873541878678
2003-03-04,1,2003-02-28,risk_on,-0.002117208991743997,0.0,-0.002117208991743997
2003-03-05,1,2003-02-28,risk_on,0.0018705437768326719,0.0,0.0018705437768326719
2003-03-06,1,2003-02-28,risk_on,-0.0015902159551137822,0.0,-0.0015902159551137822
2003-03-07,1,2003-02-28,risk_on,0.0012228969792330954,0.0,0.0012228969792330954
2003-03-10,1,2003-02-28,risk_on,-0.004552824384582837,0.0,-0.004552824384582837
2003-03-11,1,2003-02-28,risk_on,-0.002457830458735706,0.0,-0.002457830458735706
2003-03-12,1,2003-02-28,risk_on,-0.0004744183398807818,0.0,-0.0004744183398807818
2003-03-13,1,2003-02-28,risk_on,0.002162750972965822,0.0,0.002162750972965822
2003-03-14,1,2003-02-28,risk_on,0.0006214329016694145,0.0,0.0006214329016694145
2003-03-17,1,2003-02-28,risk_on,0.004615004297366379,0.0,0.004615004297366379
2003-03-18,1,2003-02-28,risk_on,-0.0010864505599868183,0.0,-0.0010864505599868183
2003-03-19,1,2003-02-28,risk_on,-0.00043564562190558066,0.0,-0.00043564562190558066
2003-03-20,1,2003-02-28,risk_on,-0.0017605606678835416,0.0,-0.0017605606678835416
2003-03-21,1,2003-02-28,risk_on,0.0025668686615054385,0.0,0.0025668686615054385
2003-03-24,1,2003-02-28,risk_on,-0.004517498302871026,0.0,-0.004517498302871026
2003-03-25,1,2003-02-28,risk_on,0.0023852672463995726,0.0,0.0023852672463995726
2003-03-26,1,2003-02-28,risk_on,0.000145601539912783,0.0,0.000145601539912783
2003-03-27,1,2003-02-28,risk_on,0.0007582239748431291,0.0,0.0007582239748431291
2003-03-28,1,2003-02-28,risk_on,-0.00047558843431302097,0.0,-0.00047558843431302097
2003-03-31,1,2003-02-28,risk_on,-0.0015929388242251058,0.0,-0.0015929388242251058
2003-04-01,1,2003-03-31,stress,0.007583423725293738,0.00024999999995683797,0.0073334237253369
2003-04-02,1,2003-03-31,stress,0.005961421959627593,0.0,0.005961421959627593
2003-04-03,1,2003-03-31,stress,-0.002135749960059526,0.0,-0.002135749960059526
2003-04-04,1,2003-03-31,stress,-0.0012590590714637113,0.0,-0.0012590590714637113
2003-04-07,1,2003-03-31,stress,0.0017777275302451171,0.0,0.0017777275302451171
2003-04-08,1,2003-03-31,stress,-0.00011828790481411701,0.0,-0.00011828790481411701
2003-04-09,1,2003-03-31,stress,-0.0011646774865070968,0.0,-0.0011646774865070968
2003-04-10,1,2003-03-31,stress,0.00035404275349202474,0.0,0.00035404275349202474
2003-04-11,1,2003-03-31,stress,-0.00217584230242803,0.0,-0.00217584230242803
2003-04-14,1,2003-03-31,stress,0.006890251476212787,0.0,0.006890251476212787
2003-04-15,1,2003-03-31,stress,0.0036870913520693615,0.0,0.0036870913520693615
2003-04-16,1,2003-03-31,stress,-0.0021253357071997275,0.0,-0.0021253357071997275
2003-04-17,1,2003-03-31,stress,0.004989252754663169,0.0,0.004989252754663169
2003-04-18,1,2003-03-31,stress,-6.72603118979278e-05,0.0,-6.72603118979278e-05
2003-04-21,1,2003-03-31,stress,0.0018896203727042156,0.0,0.0018896203727042156
2003-04-22,1,2003-03-31,stress,0.006769415922594701,0.0,0.006769415922594701
2003-04-23,1,2003-03-31,stress,0.0023641189574506224,0.0,0.0023641189574506224
2003-04-24,1,2003-03-31,stress,-0.0026206946945560743,0.0,-0.0026206946945560743
2003-04-25,1,2003-03-31,stress,-0.004014280168992964,0.0,-0.004014280168992964
2003-04-28,1,2003-03-31,stress,0.004319081747363902,0.0,0.004319081747363902
2003-04-29,1,2003-03-31,stress,-0.00011611664640987494,0.0,-0.00011611664640987494
2003-04-30,1,2003-03-31,stress,0.0008080152145061375,0.0,0.0008080152145061375
2003-05-01,1,2003-04-30,risk_on,0.002637315447724455,3.92747671927546e-06,0.0026333879710051795
2003-05-02,1,2003-04-30,risk_on,0.005079122377432003,0.0,0.005079122377432003
2003-05-05,1,2003-04-30,risk_on,0.0022838174407837485,0.0,0.0022838174407837485
2003-05-06,1,2003-04-30,risk_on,0.005816955340558139,0.0,0.005816955340558139
2003-05-07,1,2003-04-30,risk_on,-0.0009125784602225136,0.0,-0.0009125784602225136
2003-05-08,1,2003-04-30,risk_on,0.0002777396653720089,0.0,0.0002777396653720089
2003-05-09,1,2003-04-30,risk_on,0.005721816997303915,0.0,0.005721816997303915
2003-05-12,1,2003-04-30,risk_on,0.0054361971153722086,0.0,0.0054361971153722086
2003-05-13,1,2003-04-30,risk_on,-0.0006796701126551793,0.0,-0.0006796701126551793
2003-05-14,1,2003-04-30,risk_on,0.0011380357440832212,0.0,0.0011380357440832212
2003-05-15,1,2003-04-30,risk_on,0.002786958993137389,0.0,0.002786958993137389
2003-05-16,1,2003-04-30,risk_on,0.002068731097192712,0.0,0.002068731097192712
2003-05-19,1,2003-04-30,risk_on,-0.005780928535822392,0.0,-0.005780928535822392
2003-05-20,1,2003-04-30,risk_on,0.0021553224077694743,0.0,0.0021553224077694743
2003-05-21,1,2003-04-30,risk_on,0.002928915377422287,0.0,0.002928915377422287
2003-05-22,1,2003-04-30,risk_on,0.004569095883414903,0.0,0.004569095883414903
2003-05-23,1,2003-04-30,risk_on,0.0015008251069978515,0.0,0.0015008251069978515
2003-05-26,1,2003-04-30,risk_on,0.00026516807464060563,0.0,0.00026516807464060563
2003-05-27,1,2003-04-30,risk_on,0.002645014574509554,0.0,0.002645014574509554
2003-05-28,1,2003-04-30,risk_on,-0.003227100056430992,0.0,-0.003227100056430992
2003-05-29,1,2003-04-30,risk_on,-0.0036391250071412294,0.0,-0.0036391250071412294
2003-05-30,1,2003-04-30,risk_on,0.007713163795516256,0.0,0.007713163795516256
2003-06-02,1,2003-05-30,risk_on,0.0008434445274273341,3.898597531381421e-05,0.0008044585521135198
2003-06-03,1,2003-05-30,risk_on,0.00408728300380188,0.0,0.00408728300380188
2003-06-04,1,2003-05-30,risk_on,0.006439214667911295,0.0,0.006439214667911295
2003-06-05,1,2003-05-30,risk_on,0.00039373688826625097,0.0,0.00039373688826625097
2003-06-06,1,2003-05-30,risk_on,0.0022270307229985287,0.0,0.0022270307229985287
2003-06-09,1,2003-05-30,risk_on,-0.0032571304203233863,0.0,-0.0032571304203233863
2003-06-10,1,2003-05-30,risk_on,0.006248116191891792,0.0,0.006248116191891792
2003-06-11,1,2003-05-30,risk_on,0.005360014825266034,0.0,0.005360014825266034
2003-06-12,1,2003-05-30,risk_on,-0.0017639658499956279,0.0,-0.0017639658499956279
2003-06-13,1,2003-05-30,risk_on,-0.004017397009962499,0.0,-0.004017397009962499
2003-06-16,1,2003-05-30,risk_on,0.00608767172564552,0.0,0.00608767172564552
2003-06-17,1,2003-05-30,risk_on,-0.003274910845867998,0.0,-0.003274910845867998
2003-06-18,1,2003-05-30,risk_on,-0.004798387810133586,0.0,-0.004798387810133586
2003-06-19,1,2003-05-30,risk_on,-0.003090343971254549,0.0,-0.003090343971254549
2003-06-20,1,2003-05-30,risk_on,-0.0006341345227768266,0.0,-0.0006341345227768266
2003-06-23,1,2003-05-30,risk_on,-0.00495022013111144,0.0,-0.00495022013111144
2003-06-24,1,2003-05-30,risk_on,0.0019506921302270227,0.0,0.0019506921302270227
2003-06-25,1,2003-05-30,risk_on,-0.0017228318603273634,0.0,-0.0017228318603273634
2003-06-26,1,2003-05-30,risk_on,0.002448064159257888,0.0,0.002448064159257888
2003-06-27,1,2003-05-30,risk_on,-0.0024137830052603838,0.0,-0.0024137830052603838
2003-06-30,1,2003-05-30,risk_on,0.00021742258649922185,0.0,0.00021742258649922185
2003-07-01,1,2003-06-30,risk_on,0.0033284022680254047,3.921874767259825e-06,0.0033244803932581447
2003-07-02,1,2003-06-30,risk_on,0.007238624936547982,0.0,0.007238624936547982
2003-07-03,1,2003-06-30,risk_on,-0.0023176135576575534,0.0,-0.0023176135576575534
2003-07-04,1,2003-06-30,risk_on,-0.00019504836628795986,0.0,-0.00019504836628795986
2003-07-07,1,2003-06-30,risk_on,0.006250369073518136,0.0,0.006250369073518136
2003-07-08,1,2003-06-30,risk_on,0.00023591273356354242,0.0,0.00023591273356354242
2003-07-09,1,2003-06-30,risk_on,-0.001281443048439361,0.0,-0.001281443048439361
2003-07-10,1,2003-06-30,risk_on,-0.005165298207624703,0.0,-0.005165298207624703
2003-07-11,1,2003-06-30,risk_on,0.005459140636354778,0.0,0.005459140636354778
2003-07-14,1,2003-06-30,risk_on,0.002036121633215974,0.0,0.002036121633215974
2003-07-15,1,2003-06-30,risk_on,-0.005074283495497092,0.0,-0.005074283495497092
2003-07-16,1,2003-06-30,risk_on,-0.0019366354525508411,0.0,-0.0019366354525508411
2003-07-17,1,2003-06-30,risk_on,-0.006435037549623031,0.0,-0.006435037549623031
2003-07-18,1,2003-06-30,risk_on,0.004245789506181824,0.0,0.004245789506181824
2003-07-21,1,2003-06-30,risk_on,-0.008053567784233506,0.0,-0.008053567784233506
2003-07-22,1,2003-06-30,risk_on,0.004438921940065335,0.0,0.004438921940065335
2003-07-23,1,2003-06-30,risk_on,0.001544448897396311,0.0,0.001544448897396311
2003-07-24,1,2003-06-30,risk_on,-0.0001974672201438723,0.0,-0.0001974672201438723
2003-07-25,1,2003-06-30,risk_on,0.004958357488018508,0.0,0.004958357488018508
2003-07-28,1,2003-06-30,risk_on,-0.0032348867795095834,0.0,-0.0032348867795095834
2003-07-29,1,2003-06-30,risk_on,-0.0025334280573948405,0.0,-0.0025334280573948405
2003-07-30,1,2003-06-30,risk_on,0.0044270311846148535,0.0,0.0044270311846148535
2003-07-31,1,2003-06-30,risk_on,-0.003390877372605336,0.0,-0.003390877372605336
2003-08-01,1,2003-07-31,neutral,-0.003928306140193713,0.00021763980540933747,-0.0041459459456030506
2003-08-04,1,2003-07-31,neutral,0.0020203996565376597,0.0,0.0020203996565376597
2003-08-05,1,2003-07-31,neutral,-0.006807399439963172,0.0,-0.006807399439963172
2003-08-06,1,2003-07-31,neutral,0.004563532843332354,0.0,0.004563532843332354
2003-08-07,1,2003-07-31,neutral,0.004050446528922552,0.0,0.004050446528922552
2003-08-08,1,2003-07-31,neutral,0.001507037981727707,0.0,0.001507037981727707
2003-08-11,1,2003-07-31,neutral,0.0006098825254873805,0.0,0.0006098825254873805
2003-08-12,1,2003-07-31,neutral,0.0022546735906451253,0.0,0.0022546735906451253
2003-08-13,1,2003-07-31,neutral,-0.005136026229638915,0.0,-0.005136026229638915
2003-08-14,1,2003-07-31,neutral,0.002675935671547273,0.0,0.002675935671547273
2003-08-15,1,2003-07-31,neutral,-0.00027768777368984547,0.0,-0.00027768777368984547
2003-08-18,1,2003-07-31,neutral,0.004195244740931978,0.0,0.004195244740931978
2003-08-19,1,2003-07-31,neutral,0.005336128489909185,0.0,0.005336128489909185
2003-08-20,1,2003-07-31,neutral,-0.00034354407213754603,0.0,-0.00034354407213754603
2003-08-21,1,2003-07-31,neutral,-0.0006161679342298458,0.0,-0.0006161679342298458
2003-08-22,1,2003-07-31,neutral,-0.0012032815208321034,0.0,-0.0012032815208321034
2003-08-25,1,2003-07-31,neutral,-0.002348778883038746,0.0,-0.002348778883038746
2003-08-26,1,2003-07-31,neutral,0.0015870849046556073,0.0,0.0015870849046556073
2003-08-27,1,2003-07-31,neutral,0.0012628640133984506,0.0,0.0012628640133984506
2003-08-28,1,2003-07-31,neutral,0.0032204767445149843,0.0,0.0032204767445149843
2003-08-29,1,2003-07-31,neutral,0.0013639770781710139,0.0,0.0013639770781710139
2003-09-01,1,2003-08-29,risk_on,0.0016405315826380302,1.816258069260364e-05,0.0016223690019454267
2003-09-02,1,2003-08-29,risk_on,-0.0006552642454800731,0.0,-0.0006552642454800731
2003-09-03,1,2003-08-29,risk_on,0.0025040645766892843,0.0,0.0025040645766892843
2003-09-04,1,2003-08-29,risk_on,0.001403720589721328,0.0,0.001403720589721328
