variant_id,layer,baseline_sharpe,ablated_sharpe,marginal_oos_sharpe,baseline_turnover_cost,ablated_turnover_cost,turnover_cost_delta,baseline_ann_return,ablated_ann_return,ann_return_delta,baseline_max_drawdown,ablated_max_drawdown,notes
baseline,baseline,1.1066560967737438,1.1066560967737438,0.0,0.0335214226008826,0.0335214226008826,0.0,0.1442214245990221,0.1442214245990221,0.0,-0.3150906035504397,-0.3150906035504397,Existing baseline walk-forward run.
no_regime,regime,1.1066560967737438,1.0992940319618103,0.007362064811933466,0.0335214226008826,0.03248761059333723,0.001033812007545376,0.1442214245990221,0.14603880104226974,-0.0018173764432476425,-0.3150906035504397,-0.33769188203971234,Leave-one-out ablation for no_regime.
no_trend,trend,1.1066560967737438,1.1450867310571218,-0.03843063428337801,0.0335214226008826,0.01880337965387018,0.014718042947012424,0.1442214245990221,0.14917989977577828,-0.004958475176756183,-0.3150906035504397,-0.3005857315429111,Leave-one-out ablation for no_trend.
no_momo,momo,1.1066560967737438,1.1221240554614067,-0.01546795868766293,0.0335214226008826,0.025061579275115486,0.008459843325767116,0.1442214245990221,0.14557716876004645,-0.0013557441610243526,-0.3150906035504397,-0.3159143580467433,Leave-one-out ablation for no_momo.
