,MSCI_EAFE,IGOV,OIL
2001-01-02,,,
2001-01-03,-0.009799295829230854,,0.029598755097180147
2001-01-04,0.01227108644829059,,0.01270362459350927
2001-01-05,0.0031012346057393146,,-0.006728701420991141
2001-01-08,-0.005438531660113418,,-0.03023814334655202
2001-01-09,-0.017028700413454567,,0.006527970958452084
2001-01-10,-0.006684168231585314,,0.030044318664891736
2001-01-11,0.0072311954940212095,,0.010598725318440893
2001-01-12,0.004501593387705948,,0.005451726898311209
2001-01-15,-0.002500657129058503,,0.016561133372008808
2001-01-16,-0.005102435747745818,,0.000763650285297175
2001-01-17,0.0109185610641098,,-0.05531906471995203
2001-01-18,0.010216702674820341,,0.03293295042148906
2001-01-19,-0.005223525767159943,,0.053943954706175
2001-01-22,0.0012814807575667238,,-0.01904108302511497
2001-01-23,0.00021566684947161508,,0.005263170044274691
2001-01-24,-0.007983642196820828,,-0.015492469319272832
2001-01-25,0.002266251478823942,,0.007587289812159385
2001-01-26,-0.0013089140257569625,,0.019461692092800242
2001-01-29,0.0002171405314903867,,-0.014184634991956413
2001-01-30,0.0038599366680499465,,0.010843254493119804
2001-01-31,0.007903476509475614,,-0.008590155530210686
2001-02-01,0.0027187577433248023,,0.052605261589137496
2001-02-02,-0.01240814229322852,,0.038056608526323324
2001-02-05,-0.0001760575306384867,,-0.025678024293683575
2001-02-06,-0.0032151097023563136,,0.008748962193235545
2001-02-07,-0.008658771666582394,,0.04129574987628117
2001-02-08,-0.012439738131615911,,-0.0023430973062965646
2001-02-09,-0.005866507195435275,,-0.019970201657694586
2001-02-12,0.010090188209948291,,-0.008583743691391442
2001-02-13,-0.0057861108060310905,,-0.018796237324767685
2001-02-14,-0.009917390480868002,,-0.042345759686444905
2001-02-15,-0.0008496386036367245,,-0.023739987303072942
2001-02-16,-0.007311370784241822,,0.00934062460858491
2001-02-19,-0.0017706515664370384,,0.0154984652048402
2001-02-20,-0.011120254877719705,,-0.025590122518647947
2001-02-21,-0.0076200301793390825,,-0.009435812601770241
2001-02-22,-0.005199594589249943,,0.0034071583216143558
2001-02-23,-0.008355497880239808,,0.0022650066308520615
2001-02-26,0.007098618480529258,,-0.015580782606624337
2001-02-27,0.00686809915590216,,-0.003452909626678217
2001-02-28,-0.004950720147713076,,-0.017445683781263956
2001-03-01,-0.0021136819697224122,,0.010890811651343039
2001-03-02,-0.004474508638695849,,0.0057859370670439265
2001-03-05,0.003397792518523828,,0.026941489100387402
2001-03-06,0.015134455610403847,,-0.00864829605306203
2001-03-07,-0.0014924090822135056,,0.02792957561686069
2001-03-08,-0.00035908448207276893,,-0.020405085638245304
2001-03-09,-0.008236791683557478,,-0.013205247539204958
2001-03-12,-0.026954068650793046,,-0.016466004802726013
2001-03-13,-0.022893318627763237,,-0.02422939942683532
2001-03-14,-0.018679493383757382,,-0.05488066735837473
2001-03-15,0.011842943682205422,,0.010806422701654085
2001-03-16,-0.02617761480389685,,0.03493450290893782
2001-03-19,-0.0022054894096979155,,-0.009627029827164199
2001-03-20,0.013129428579875924,,-0.007687676947402084
2001-03-21,-0.004367772831562087,,0.01531670411189324
2001-03-22,-0.046830496603675185,,-0.01491061273575424
2001-03-23,0.030175990095611005,,0.029996250153795145
2001-03-26,0.03428112552185287,,0.0007877117382491863
2001-03-27,0.014471569155405319,,0.01910761973895538
2001-03-28,-0.012423087728932834,,-0.02423887236334344
2001-03-29,-0.016054735073967628,,-0.030944803849421484
2001-03-30,-0.0007557607636844614,,0.009748249413660436
2001-04-02,-0.00828841047800396,,-0.025794674771262092
2001-04-03,-0.012367900301934423,,0.027006551308188576
2001-04-04,0.017041025838051754,,0.021961353774707322
2001-04-05,0.015547028972801741,,0.0
2001-04-06,0.0023463083349516637,,-0.005941788128750915
2001-04-09,0.00012293318596827267,,0.0043607601314321325
2001-04-10,0.005042581323183953,,0.04863945962540471
2001-04-11,0.0038985809276556854,,-0.00037686075441311967
2001-04-12,0.010023532579479901,,0.031171354902939426
2001-04-13,-0.0010031263686657267,,0.0
2001-04-16,-0.008548420818373599,,0.0
2001-04-17,-0.0054566334111798885,,0.009454615882737464
