,BCOM_logret,EM_AGG_USD_logret,US_BOND_TR_logret,HY_TR_logret,IG_CORP_TR_logret,MSCI_EAFE_logret,IGOV_logret,OIL_logret
1990-01-02,,,,,,,,
1990-01-03,0.013907378127385779,,-0.0018148825308223894,-0.00200792203471077,-0.00200792203471077,0.0014750536662984,,0.05593875275449377
1990-01-04,-0.00794807714928165,,0.0013110788020948626,0.0005078776344911266,0.0005078776344911266,0.009080014554889404,,-0.0083333815591443
1990-01-05,-0.008394468403090109,,-0.00040322581191491773,-0.0009055270896493627,-0.0009055270896493627,-0.007760059126944109,,0.02252451007867703
1990-01-08,-0.015950487785478196,,0.0,8.838021172824604e-05,8.838021172824604e-05,0.001604554220972889,,-0.06964243305574706
1990-01-09,0.003725800786612809,,0.00020163322983931102,0.0,0.0,-0.006741125169712281,,-0.01869213301215252
1990-01-10,0.013240680480178783,,0.0003023736353229782,-0.00019886646182676378,-0.00019886646182676378,-0.005530145602993066,,-0.012993686061988297
1990-01-11,0.007196045990784233,,0.00010077089745013038,0.00019886646182686174,0.00019886646182686174,0.0019785645940945474,,0.01942775923548068
1990-01-12,-0.005758840163558649,,-0.0016135542024413802,-0.0026991166828873162,-0.0026991166828873162,-0.007957293540435654,,-0.010912806711330455
1990-01-15,-0.010881200780704788,,0.0007062503446462283,0.0009078931966974265,0.0009078931966974265,-0.0049787944285556145,,-0.02627740886399063
1990-01-16,-0.00314999452291857,,-0.004017135049333626,-0.0019274872206584673,-0.0019274872206584673,-0.021792689767676374,,0.0025568922137765133
1990-01-17,-0.005127970260875306,,0.00030374364270285755,0.00039909538909405697,0.00039909538909405697,0.0014364808694870357,,-0.019598358068628415
1990-01-18,0.0009337270650851409,,-0.005328879845375877,-0.006248561040944622,-0.006248561040944622,-0.011832440234717368,,0.013964540350372541
1990-01-19,0.002314345056738611,,0.002414201754520691,0.0033403883638214306,0.0033403883638214306,-0.001302076945929465,,0.022849432772343956
1990-01-22,-0.005040156266640599,,0.0004060295442271236,0.0002000689132927998,0.0002000689132927998,0.0033375882394425737,,-0.013138137437431734
1990-01-23,-0.002031879731778388,,0.00101435318328628,0.0013105725078550849,0.0013105725078550849,-0.00025169516827813375,,-0.023155137938555188
1990-01-24,-0.0019479280504810428,,-0.00403815200353888,-0.005565092385042826,-0.005565092385042826,-0.004753815277794793,,0.0041558501371723195
1990-01-25,0.005253859465463032,,-0.001630033725663344,-0.0021228821058419246,-0.0021228821058419246,0.006182602561156958,,0.022553493116886373
1990-01-26,0.004029029102986434,,-0.003651736077090245,-0.004371665165978791,-0.004371665165978791,0.005064774613185079,,0.006567338582502605
1990-01-29,0.002397610426491822,,0.001022808721671298,0.0011227630128777804,0.0011227630128777804,0.014342289687782813,,0.009521495135551708
1990-01-30,-0.0068973191725091535,,-0.0013298554463599243,-0.0015272664903814984,-0.0015272664903814984,-0.001263062502016148,,-0.009018097188852752
1990-01-31,0.0012438444829754984,,0.004392019725437471,0.007278459991374591,0.007278459991374591,-0.0049194138516273035,,0.009516725970063913
1990-02-01,0.0007790480772755927,,0.001374920649441732,0.0016275936393459751,0.0016275936393459751,0.0049490351434140194,,-0.0065016483090861174
1990-02-02,0.008104465970395705,,-0.0025986613691585123,-0.003704947882716747,-0.003704947882716747,0.002642634704924713,,0.012961298100042812
1990-02-05,-0.00743287572316139,,-0.00040824658660504467,-0.0006934115003884884,-0.0006934115003884884,0.0025178029745374073,,-0.020516106130180112
1990-02-06,0.00034749501769878327,,-0.001404620153556105,-0.0019037599397995102,-0.0019037599397995102,0.004263813598395096,,0.0050428750338617385
1990-02-07,0.00034413845709289095,,0.0005109992701704854,0.00029139815280455824,0.00029139815280455824,-0.01055047764982453,,-0.009603308577393728
1990-02-08,-0.002149838348452248,,0.0018119414417739426,0.0019032057959808486,0.0019032057959808486,3.9538193900515774e-05,,-0.010722594436645227
1990-02-09,-0.0006725706074186775,,0.005187947142854397,0.008996631295489962,0.008996631295489962,-0.007709786506338089,,0.006141268022082649
1990-02-12,0.006082068183677215,,-0.0014976712746241746,-0.0013976242666379726,-0.0013976242666379726,-0.000787217227896999,,-0.013871273016232127
1990-02-13,0.002437522280162854,,0.00398038225018047,0.002594035177046749,0.002594035177046749,-0.00562818570118517,,0.003614772849042951
1990-02-14,0.0037563061776128004,,0.00010120433163174439,0.0,0.0,0.002823050767688598,,0.004628447450186979
1990-02-15,0.005534289017187786,,-0.0037767937116057354,-0.0039936155314698775,-0.0039936155314698775,0.0050654729549315285,,0.01779858833725731
1990-02-16,-0.0005856490641558289,,0.0009899357350251483,0.0006000600240059049,0.0006000600240059049,0.003643606133762421,,-0.006573980692097824
1990-02-20,-0.0003828235623609928,,-0.007691366071204793,-0.008590638887852801,-0.008590638887852801,-0.020271877583797993,,-0.00610688920817945
1990-02-21,-1.2763309739050627e-05,,0.0003834208857984468,8.9633845800105e-05,8.9633845800105e-05,-0.021383318301506,,-0.010261762701888924
1990-02-22,0.003046867691286953,,0.004106153514112524,0.0043153148610450606,0.0043153148610450606,-0.0014060773798022183,,-0.004652373343720587
1990-02-23,-0.00223034410123131,,0.0002035934246357899,0.00029000055972590625,0.00029000055972590625,-0.02434866471189333,,-0.005715785891231256
1990-02-26,9.564684633757857e-06,,0.003784371777887402,0.004606405919937828,0.004606405919937828,-0.03422694814123699,,0.020119327082755673
1990-02-27,-0.005578965148033722,,0.002203062386846212,0.002970650406650148,0.002970650406650148,0.013781901031852737,,-0.008720239921445324
1990-02-28,0.0031050424761062847,,-0.00402996401394059,-0.005104316452929609,-0.005104316452929609,0.013092737816385128,,0.003599901033470188
1990-03-01,-0.004735043403866134,,-0.0032560889595586126,-0.0029635593288856793,-0.0029635593288856793,-0.01698470025366944,,-0.012396852976828682
1990-03-02,0.008638388847348712,,0.0020871520506869387,0.0018059198932967402,0.0018059198932967402,0.0025060358644369237,,0.0020768439448392907
1990-03-05,0.011214463281575007,,-0.004204202745100586,-0.004934973449866265,-0.004934973449866265,-0.00013002914838391115,,0.0077499742069491355
1990-03-06,-0.0041852989063689795,,0.0028047648362136074,0.0032183113778453433,0.0032183113778453433,-0.004115477920674184,,-0.0051599701691092195
1990-03-07,-0.004733200381866179,,0.0008144566497557158,0.0013156282906902615,0.0013156282906902615,-0.00661581687938241,,-0.010400509768077973
1990-03-08,0.0020572210665310282,,0.0006866822075801195,0.0008909678727268993,0.0008909678727268993,0.006365518969151451,,-0.014214506246850063
1990-03-09,-0.007781488315787193,,-0.003310586705030619,-0.004708831606618508,-0.004708831606618508,-0.0036199923953361187,,0.0010598835120432524
1990-03-12,-0.005174762138314892,,0.0010198098938559242,0.001698628096057393,0.001698628096057393,-0.014557034540078576,,-0.013866888868433524
1990-03-13,-0.0017773535188749198,,-0.0036250422623554657,-0.004117442265283745,-0.004117442265283745,-0.01651711014753837,,-0.0010746911297654092
1990-03-14,-0.00015334964445972116,,0.004210962364713177,0.004630932559320936,0.004630932559320936,-0.0061713939045424295,,-0.004310351501122323
1990-03-15,0.013050994326190123,,-0.0002801798263384031,0.0002901170531067607,0.0002901170531067607,0.0010312141476237113,,0.011809047592242819
1990-03-16,-0.005472841114313835,,0.00368699165366933,0.0036971912312273193,0.0036971912312273193,0.005996189901097412,,-0.009651549452221585
1990-03-19,-0.002436093737912462,,0.0008118530991884824,0.001110938412745454,0.001110938412745454,-0.024584255668193195,,-0.019587133275304817
1990-03-20,-0.0045084379520899396,,0.002684565370668983,0.0035909865024483056,0.0035909865024483056,-0.01387297427209159,,-0.00827590930385971
1990-03-21,0.0038915466377378452,,-0.0008856163835880724,-0.0009076118258384475,-0.0009076118258384475,-0.005843578150202175,,0.006626197629190003
1990-03-22,0.000687307989049578,,0.0007844427695801336,0.0003985651706807389,0.0003985651706807389,-0.02600212060510801,,-0.0005505092349326475
1990-03-23,0.0023028778020964965,,0.0010112758105105706,0.0011062927050960083,0.0011062927050960083,0.01872635473469638,,0.013129291441792581
1990-03-26,-0.00716901020595768,,0.0017672755742137506,0.0014805160202468572,0.0014805160202468572,0.02285291409799081,,0.0032555644597662002
1990-03-27,-0.0017801742275230796,,-0.0007822653287619383,-0.0006847424200398528,-0.0006847424200398528,-0.0018207442246204765,,0.0
1990-03-28,-0.001199298618618386,,0.0010849135025728057,0.0010821197350245747,0.0010821197350245747,-0.014981071788292817,,-0.0076128698287219404
1990-03-29,0.0046794275699224485,,-0.003764389322080056,-0.00406954160078399,-0.00406954160078399,0.0038690681956976363,,0.000545702605629425
1990-03-30,0.007657251795818898,,-0.002610537402759928,-0.003018602194452352,-0.003018602194452352,-0.016855262564515694,,0.0027240550759274765
1990-04-02,0.0010827566766279178,,0.0011160149283923775,0.00031115951621255993,0.00031115951621255993,-0.050430442010501154,,0.012973154921380162
1990-04-03,0.007154863735002305,,0.0009881548913273472,0.0013990209137074087,0.0013990209137074087,0.026132563735200346,,-0.007547205635382966
1990-04-04,-0.00440865129250287,,0.004371619278497506,0.00528967094074907,0.00528967094074907,-0.0010034018609420563,,-0.021329766806334412
1990-04-05,-0.0034031572694964997,,-0.0002017349209989863,-0.0003090848904173258,-0.0003090848904173258,0.005822805897566853,,-0.024623516027898106
1990-04-06,-0.0004799804701871656,,0.0005042610161817304,0.00039737731498475375,0.00039737731498475375,0.021315065851032614,,-0.01254292384737613
1990-04-09,-0.012464250424565348,,-0.0006808124624706055,-0.0008832752418094068,-0.0008832752418094068,0.01931703260023067,,-0.037409388442480096
1990-04-10,-0.002047658827619603,,0.0,-0.00019884449321519532,-0.00019884449321519532,-0.019317032600230693,,-0.026555573746186924
1990-04-11,0.002787315759448262,,0.00017655144628892476,0.0005964149015438907,0.0005964149015438907,0.0018807962024080325,,0.029529111470918253
1990-04-12,-0.0049633721318133725,,-0.0011860152544079935,-0.0023877968453273903,-0.0023877968453273903,0.0021146429026482625,,-0.0011883542693786767
1990-04-16,0.005095549681917526,,-0.0002020151013157582,-0.0007972009811460202,-0.0007972009811460202,-0.01749043491532765,,0.0
1990-04-17,-0.0007288058119684909,,-0.004175688411850677,-0.004507262534697995,-0.004507262534697995,-0.0003261283162636066,,-0.007159935122092595
1990-04-18,-0.00551439676503187,,-0.00592643313613212,-0.005422244432497331,-0.005422244432497331,0.012807838072654293,,-0.018127384592556715
1990-04-19,0.013439253709166621,,-0.00020410766750275525,-8.950147683419741e-05,-8.950147683419741e-05,0.015832401895886295,,0.036520071577617795
1990-04-20,-0.0018622993453538729,,-0.0009956218991258566,-0.0034294585709503016,-0.0034294585709503016,-0.001127647447789977,,0.011689203815677509
1990-04-23,0.004269388149982862,,-0.0010988871679908842,-0.0006064213466467894,-0.0006064213466467894,-0.011430181830269724,,0.019563339688426724
1990-04-24,-0.0040941158629682955,,-0.0010233058786491046,-0.0012139470501428922,-0.0012139470501428922,-0.009447948687139883,,-0.003996579684485438
1990-04-25,-0.0017851522681282073,,-0.00020478689435447686,0.00020242687398327767,0.00020242687398327767,0.001546920558142581,,-0.015566760003941272
1990-04-26,0.0040331789870898214,,-0.002922779231746781,-0.00374025941872671,-0.00374025941872671,-0.00019173617161604545,,-0.006997113095948593
1990-04-27,0.0035697902423498414,,0.0006160322585022548,0.0006995453240854948,0.0006995453240854948,-0.00419141794543237,,-0.0005853087670757577
1990-04-30,-0.0016087661535238306,,0.0018458230687410306,0.0042094899351369135,0.0042094899351369135,-0.0010957849504867217,,0.0023391823531724626
1990-05-01,0.007853378296818692,,-0.000845579336252506,-0.00015725566433606326,-0.00015725566433606326,0.0042919810771727225,,0.007564772763772673
1990-05-02,0.00013935943248354377,,0.0003075661291419298,0.0002920265540280416,0.0002920265540280416,0.014033060915159039,,-0.003484324082610811
1990-05-03,-0.010472088849288621,,0.0023037356286373313,0.0003143947926189388,0.0003143947926189388,0.004449776296609304,,-0.038546129799212715
1990-05-04,-0.0023005162274767703,,0.00964347256814386,0.011430481875299192,0.011430481875299192,0.0043010818993904805,,-0.012777782613171532
1990-05-07,0.008192093043365602,,-0.0011908533744055714,-0.0008883164767229813,-0.0008883164767229813,0.020761429225828368,,0.0
1990-05-08,-0.002121179780164505,,0.001975534416528271,0.0022636494353067715,0.0022636494353067715,0.0010790459526675224,,0.022404812440335847
1990-05-09,0.016199786389248294,,-0.003167807613661694,-0.0039536278233384065,-0.0039536278233384065,0.005320774394397649,,0.037030384304805285
1990-05-10,0.0009166588481448074,,0.004154113220722536,0.0041531158048491,0.0041531158048491,-0.001724719304071253,,-0.006367604727929907
1990-05-11,-0.009585333231711622,,0.007780376899591826,0.00933132742888444,0.00933132742888444,0.024604778760766957,,0.021827403044521396
1990-05-14,0.00626590800600923,,0.003030267404375229,0.004381839931831448,0.004381839931831448,0.012525241611922264,,0.028013036227673888
1990-05-15,-0.004068003032432974,,-0.0016767819732988547,-0.002144702533475151,-0.002144702533475151,0.00669677216467932,,-0.010552722199159727
1990-05-16,-0.0007117355592299881,,-0.0007767769161642227,-0.0008767123849223375,-0.0008767123849223375,-0.005177834688399285,,-0.008410478508596293
1990-05-17,0.004175783928620957,,-0.00030084990323943464,-0.0005702755023826661,-0.0005702755023826661,0.003009040366579617,,0.0005629046025357598
1990-05-18,-0.000798492874090445,,-0.0019577336708169854,-0.0022623698628790093,-0.0022623698628790093,-0.005277289172684898,,-0.004512133994865951
1990-05-21,-0.008912603141804044,,0.0009793459254727416,0.0010769113468115507,0.0010769113468115507,-0.008213007591672629,,-0.015954754391596278
1990-05-22,0.0031785501243466207,,0.00420779060955151,0.004689700039741106,0.004689700039741106,0.01309546467254064,,-0.010392703240259414
1990-05-23,-0.014737217414570073,,0.0018478293269387019,0.0017475266030057,0.0017475266030057,0.005218915875791828,,-0.028253792268762828
1990-05-24,0.004490839078199105,,0.00029932651757534623,0.0,0.0,-0.0036843326523525117,,-0.008393334645871933
1990-05-25,-9.173147430642478e-05,,-0.0026221499160188656,-0.0034105102907789216,-0.0034105102907789216,0.010427373199722291,,-0.005433155532371495
1990-05-29,-0.002933439983769637,,0.002422608859784563,0.0033232064515371336,0.0033232064515371336,0.0005418174857849029,,0.007838448333620743
1990-05-30,-0.0037954533404847284,,0.0020434107137673047,0.002223870449518172,0.002223870449518172,0.005100342794129063,,0.005988041844622693
1990-05-31,-0.011494205616017735,,0.0007216713224906241,0.0008707578319740685,0.0008707578319740685,-0.004526336594264205,,-0.03092092353754362
1990-06-01,-0.005325126065004486,,0.007533925749537174,0.008860255314033129,0.008860255314033129,0.0055820526400915515,,0.007973056649511812
1990-06-04,-0.008427188681515176,,0.0020717728461141587,0.002175951221029566,0.002175951221029566,-0.010411800191551085,,-0.016631119392626202
1990-06-05,0.0005989566882357572,,-0.0025656853842462354,-0.0026721274384813895,-0.0026721274384813895,0.002672810648322228,,-0.02134418756068433
