Date,portfolio_return,gross_return,turnover,turnover_cost,scheduled_rebalance_flag,compliance_rebalance_flag,rebalance_flag
2000-01-04,0.0,0.0,0.0,0.0,1,0,1
2000-01-05,-0.00794221666575144,-0.00794221666575144,0.0,0.0,0,0,0
2000-01-06,-0.0018053256409468238,-0.0018053256409468238,0.0,0.0,0,0,0
2000-01-07,0.01082173744094265,0.01082173744094265,0.0,0.0,0,0,0
2000-01-09,0.0,0.0,0.0,0.0,0,0,0
2000-01-10,0.0037865284226634866,0.0037865284226634866,0.0,0.0,0,0,0
2000-01-11,-0.0018364089910269756,-0.0018364089910269756,0.0,0.0,0,0,0
2000-01-12,-0.003093753735940991,-0.003093753735940991,0.0,0.0,0,0,0
2000-01-13,0.006775448758212663,0.006775448758212663,0.0,0.0,0,0,0
2000-01-14,0.005936227382445112,0.005936227382445112,0.0,0.0,0,0,0
2000-01-16,0.0,0.0,0.0,0.0,0,0,0
2000-01-17,0.0031921064733858705,0.0031921064733858705,0.0,0.0,0,0,0
2000-01-18,-0.002114918046211477,-0.002114918046211477,0.0,0.0,0,0,0
2000-01-19,0.00011108430249126097,0.00011108430249126097,0.0,0.0,0,0,0
2000-01-20,-0.0026473261236514127,-0.0026473261236514127,0.0,0.0,0,0,0
2000-01-21,0.0003131542661322675,0.0003131542661322675,0.0,0.0,0,0,0
2000-01-23,0.0,0.0,0.0,0.0,0,0,0
2000-01-24,-0.008267223754919947,-0.008267223754919947,0.0,0.0,0,0,0
2000-01-25,0.000879603099267342,0.000879603099267342,0.0,0.0,0,0,0
2000-01-26,-0.001361087587617661,-0.001361087587617661,0.0,0.0,0,0,0
2000-01-27,0.0044950978916601814,0.0044950978916601814,0.0,0.0,0,0,0
2000-01-28,-0.012935656797868707,-0.012935656797868707,0.0,0.0,0,0,0
2000-01-30,0.0,0.0,0.0,0.0,0,0,0
2000-01-31,0.007121643142672047,0.007121643142672047,0.0,0.0,0,0,0
2000-02-01,0.000999159819623266,0.000999159819623266,0.0,0.0,0,0,0
2000-02-02,0.002062876706793331,0.002062876706793331,0.0,0.0,0,0,0
2000-02-03,0.00637475144430609,0.00637475144430609,0.0,0.0,0,0,0
2000-02-04,0.01968509184952573,0.01968509184952573,0.0,0.0,0,0,0
2000-02-06,0.0,0.0,0.0,0.0,0,0,0
2000-02-07,-0.007915126749406089,-0.007915126749406089,0.0,0.0,0,0,0
2000-02-08,0.004494704993315631,0.004494704993315631,0.0,0.0,0,0,0
2000-02-09,-0.0009137706391099985,-0.0009137706391099985,0.0,0.0,0,0,0
2000-02-10,0.007395661495543098,0.007395661495543098,0.0,0.0,0,0,0
2000-02-11,-0.011918645334924417,-0.011918645334924417,0.0,0.0,0,0,0
2000-02-13,0.0,0.0,0.0,0.0,0,0,0
2000-02-14,-0.0026094339875198224,-0.0026094339875198224,0.0,0.0,0,0,0
2000-02-15,-0.0043897103205376995,-0.0043897103205376995,0.0,0.0,0,0,0
2000-02-16,-0.0007632801874474624,-0.0007632801874474624,0.0,0.0,0,0,0
2000-02-17,-0.0018479506712501719,-0.0018479506712501719,0.0,0.0,0,0,0
2000-02-18,-0.004987559173281832,-0.004987559173281832,0.0,0.0,0,0,0
2000-02-20,0.0,0.0,0.0,0.0,0,0,0
2000-02-21,-0.001697977939710694,-0.001697977939710694,0.0,0.0,0,0,0
