decision_date,SPXT,FTSE100,LBUSTRUU,BROAD_TIPS,B3REITT,XAU,SILVER_FUT,NIKKEI225,CSI300_CHINA,BITCOIN,CHF_FRANC,fold_id,turnover,turnover_cost,ex_ante_vol,active_vol_budget,guardrail_multiplier,optimizer_status,used_fallback
2003-01-29,0.20000000001761922,0.07899091212523167,0.113072316416864,0.11900537724144576,0.0,0.12156210468860652,0.11559368924402444,0.04798589987686578,0.106178234070873,0.0,0.09761146631846973,1.0,0.660903990833817,0.0003304519954169085,0.07661426657786409,0.07,1.0,optimal,0
2003-02-28,0.2000000001409322,0.06505471895473146,0.11568191429855551,0.12472973913359993,0.0,0.11917189280707524,0.11102524924882361,0.051852347197856564,0.11261549495355078,0.0,0.09986864326487481,1.0,0.030911671559250918,1.545583577962546e-05,0.07501505045667817,0.07,1.0,optimal,0
2003-03-31,0.20000000006310245,0.05214015652371423,0.10241002051433512,0.11281704637214478,0.09362619274033339,0.11095729303568301,0.09801229600987002,0.04084464153000084,0.10126522045896211,0.0,0.08792713275185401,1.0,0.18725238548066675,9.362619274033338e-05,0.07367321834238778,0.07,1.0,optimal,0
2003-04-30,0.20000000003012566,0.09479438417246319,0.10339610663147415,0.11146014366291554,0.09115615519436768,0.11064969106885127,0.0980478687519305,0.03231898039147003,0.07478594723686598,0.0,0.08339072285953608,1.0,0.0958038419834115,4.790192099170575e-05,0.07000000000287061,0.07,1.0,optimal,0
2003-05-30,0.20000000024779674,0.1100226418302983,0.10232271343723469,0.12326648517316924,0.07751352720885674,0.11804192677026884,0.06872081575235273,0.019378582183942804,0.12265703108123889,0.0,0.05807627631484118,1.0,0.15062959086654154,7.531479543327077e-05,0.06999999996227337,0.07,1.0,optimal,0
2003-06-30,0.20000000052675346,0.10243023720851459,0.10230944121294278,0.11791294720365433,0.13920094415328885,0.11179690402907931,0.08498689999095645,0.048116916574489695,0.02550096844238947,0.0,0.06774474065793115,1.0,0.21785916270430286,0.00010892958135215144,0.06999999996756229,0.07,1.0,optimal,0
2003-07-31,0.20000000031650045,0.09535597586772995,0.08030767823374432,0.1061218283988102,0.14340438967165292,0.10451133910849897,0.12639108875155913,0.033953576742369714,0.04173960348407373,0.0,0.06821451942506059,1.0,0.1001066930536946,5.00533465268473e-05,0.06999999998118635,0.07,1.0,optimal,0
2003-08-29,0.2000000001349152,0.08095652615200248,0.0796530430131483,0.11998267724407043,0.1404038705901053,0.11965063673276945,0.09364111002441143,0.05600467494533252,0.025676409748068365,0.0,0.08403105141517657,1.0,0.11611459150820355,5.8057295754101775e-05,0.06999999998568832,0.07,1.0,optimal,0
2003-09-30,0.20000000015846106,0.09582724889618172,0.09927144434750096,0.1204204690157591,0.1309640192884075,0.1136866575786502,0.0967917527574636,0.05206104269272595,0.023794503157473723,0.0,0.06718286210737617,1.0,0.07856449621632755,3.9282248108163776e-05,0.06999999999472337,0.07,1.0,optimal,0
2003-10-31,0.20000000039001667,0.10365584303574585,0.09910942465502036,0.12033417778537561,0.12002193166760554,0.11604598840940497,0.09920743274245786,0.04990159810185662,0.02243879645716198,0.0,0.06928480675535459,1.0,0.043008689414981614,2.150434470749081e-05,0.06999999997754597,0.07,1.0,optimal,0
