portfolio,start_date,end_date,annualized_return,annualized_volatility,max_drawdown,var_95_historical,sharpe_rf_2pct,sortino_rf_2pct,calmar,turnover_pa,hit_rate,cost_drag_pa,avg_core_weight,avg_satellite_weight,avg_nontrad_weight,avg_opportunistic_weight,dsr,gross_minus_net_ann_return
BM1,2000-01-03,2025-12-31,0.0535814122734255,0.09635071885498,-0.3391445433452612,-0.0094260241269754,0.3485330745063743,0.4893438203809117,0.1579898993653503,0.0554135998341632,0.423767082590612,2.770679991708064e-05,1.0,0.0,0.0,0.0,,2.9198982657518968e-05
BM2,2003-03-31,2025-12-31,0.0785949641573706,0.0958572253364542,-0.3523146971427419,-0.0088053915558102,0.6112733177045879,0.8543949334149152,0.223081707333735,0.0791746370628821,0.453158747300216,3.958731853143821e-05,0.5481179856821046,0.4039939053946251,0.0478881089232704,0.0,,4.2643358792116e-05
SAA,2000-01-04,2025-12-31,0.0654781564486146,0.0773698666036236,-0.3254169541373066,-0.0071094488148664,0.5878019239920037,0.8312051218197101,0.2012131071111518,0.2697026155074599,0.4912051342999762,0.0001348513077537,0.570695272121549,0.3397884547662735,0.0895162731121775,0.0,,0.0001439997523886
SAA+TAA,2003-01-30,2025-12-31,0.084113672093125,0.0721904369218755,-0.2191663831023711,-0.0069814434829916,0.8881186321466483,1.2544513486712348,0.3837891144730718,5.16683493044312,0.5358627161817938,0.0025834174652211,0.5748363835532443,0.3074287826434837,0.0817322899643808,0.0360025438388901,0.9408752381289978,0.0028023265185088
