date,trailing_dd,action
2008-10-31,-0.2618181201436274,tighten
2009-08-28,-0.028863692639525262,release
2020-03-31,-0.17657189588493005,tighten
2020-07-31,-0.028533350470944074,release
2022-05-31,-0.1184658972303726,tighten
2023-01-31,-0.040230008078502744,release
