method,annualized_return,annualized_volatility,max_drawdown,sharpe,sortino,calmar,turnover_pa,cost_drag_pa,start_date,end_date
minimum_variance,0.061810858157585136,0.07437104725934278,-0.3002285851851191,0.5621926771016753,0.8017205687430828,0.2058793239806694,0.13864979331543037,6.93248966577152e-05,2000-01-04,2025-12-31
mean_variance,0.13857066755839575,0.23309322099906296,-0.7693028065588546,0.5086834659978052,0.817491328240421,0.18012499938513427,0.5276773847046973,0.0002638386923523486,2000-01-04,2025-12-31
maximum_diversification,0.11724228694341976,0.1925416621965832,-0.7521905116861598,0.5050454319031291,0.8024702147692323,0.15586780891532614,0.22288029362143943,0.00011144014681071973,2000-01-04,2025-12-31
inverse_vol,0.07808449433557962,0.11860200862514673,-0.49700690183114704,0.4897429226444331,0.7292585368707792,0.1571094768460741,0.13053266806220654,6.526633403110327e-05,2000-01-04,2025-12-31
risk_parity,0.08833361148901142,0.14425089257403076,-0.6179162026356735,0.47371361292577124,0.714988736942889,0.1429540301941125,0.19153425796720622,9.57671289836031e-05,2000-01-04,2025-12-31
